File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 100 kHz,
0.25 V, 0 A 2
(μH) (","DCR
TYP.
5 °C
mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.",,"SRF
TYP.
(MHz)"
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER000M1A,,,,,(A) (2),(A) (3),
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZERR1M1A,0.1,2.6,2.9,26.3,20.5,31.7,312.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZERR22M1A,0.22,3.5,3.9,20.0,8.8,13.4,144.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZERR33M1A,0.33,4.5,5.0,18.5,8.7,13.0,121.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZERR47M1A,0.47,5.4,6.0,15.4,7.4,11.0,89.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER1R0M1A,1.0,10.0,11.0,11.6,6.4,9.4,62.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER1R5M1A,1.5,17.1,18.5,9.0,5.2,7.6,46.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER2R2M1A,2.2,22.5,25.0,8.5,4.9,7.2,35.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER3R3M1A,3.3,36.4,40.4,6.3,4.7,6.8,30.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER4R7M1A,4.7,54.0,60.0,5.1,3.7,5.4,25.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER5R6M1A,5.6,63.0,70.6,4.2,3.0,4.4,21.0
IHLP-2020CZ-1A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, Low DCR Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP2020CZER000M1A,10 1,22.1,131.9,3.2,1.4,2.1,16.0
