File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER0R19M01;0.19;0.875;0.95;40.0;90.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER0R36M01;0.36;1.30;1.40;31.5;60.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER0R56M01;0.56;1.80;1.95;27.5;49.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER1R0M01;1.0;3.70;4.10;17.5;36.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER1R5M01;1.5;5.30;5.80;15.0;27.5
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER2R2M01;2.2;8.20;9.00;12.0;25.6
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER3R3M01;3.3;13.70;14.40;10.0;18.6
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER4R7M01;4.7;15.00;16.50;9.5;17.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER5R6M01;5.6;17.60;19.30;8.5;16.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER6R8M01;6.8;21.20;23.30;8.0;13.5
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER100M01;10;33.20;36.50;6.8;12.0
IHLP-4040DZ-01;image/small_inductors/34193.png;IHLP® Commercial Inductors, High Saturation Series;IHLP4040DZER220M01;22;74.3;79.90;4.6;10.0
