File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 1 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (3);SATURATION CURRENT DC TYP. (A) (4)
IFLR-4031GC-01;image/small_inductors/34422.png;Low Profile, High Current Inductors;IFLR4031GCER0R17M01;0.170;0.26;0.29;61;60
IFLR-4031GC-01;image/small_inductors/34422.png;Low Profile, High Current Inductors;IFLR4031GCER0R215M01;0.215;0.26;0.29;61;44
