File Name;Image Path;Description;PART NUMBER;L INDUCTANCE ± 20 % 0 AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER0R1ML1;0.10;0.52;0.60;55;118
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER0R22ML1;0.22;0.64;0.80;51;110
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER0R33ML1;0.33;0.85;1.1;42;80
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER0R47ML1;0.47;1.1;1.3;38;65
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER0R56ML1;0.56;1.3;1.5;36;55
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER0R82ML1;0.82;2.0;2.3;31;53
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER1R0ML1;1.0;2.1;2.5;29;50
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER1R5ML1;1.5;3.4;4.1;23;48
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER2R2ML1;2.2;4.6;5.5;20;32
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER3R3ML1;3.3;7.7;9.2;15;32
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER4R7ML1;4.7;12.8;15.0;12;27
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER5R6ML1;5.6;14.0;16.5;11.5;22
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER6R8ML1;6.8;15.4;18.5;11;21
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER7R8ML1;7.8;17.2;20.5;10;18
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER8R2ML1;8.2;18.9;22.5;9.5;18
IHLP-5050EZ-L1;image/small_inductors/34175.png;IHLP® Tin / Lead Inductors, High Saturation Series;IHLP5050EZER100ML1;10;21.4;25.5;9.0;16
