File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER0R1M8;0.1;1.54;1.71;33.0;33.0;248
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER0R47M8;0.47;3.97;4.25;20.0;14.0;79.6
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER0R68M8;0.68;5.49;5.87;16.5;17.0;62.8
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER0R82M8;0.82;6.86;7.33;13.8;16.8;72.9
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER1R0M8;1.0;8.01;8.56;12.0;13.0;59.1
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER1R5M8;1.5;12.41;13.31;10.6;11.6;45.9
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER2R2M8;2.2;17.21;18.41;8.1;10.8;34.3
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER3R3M8;3.3;26.61;28.51;6.8;8.3;28.3
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER4R7M8;4.7;36.01;38.51;5.6;5.6;25.5
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER5R6M8;5.6;42.71;45.72;5.3;4.8;23.0
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER6R8M8;6.8;53.91;57.72;4.4;4.4;16.0
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER100M8;10;72.01;77.02;4.0;2.9;13.9
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER150M8;15;118.18;127.62;2.9;2.8;11.0
SGIHLP-34EB-8;image/small_inductors/34478.png;SGIHLP® - Space Grade (MIL-STD-981 Compliant);SGIHLP34EBER220M8;22;165.11;174.11;2.8;2.2;8.76
