"Series▲▼(all)LCD-008N002A1LCD-008N002A1-NFG-ETLCD-008N002A1-TFH-ETLCD-008N002A1-TMI-ETLCD-008N002A1-YGH-JTLCD-008N002A1-YYH-ETLCD-012N002ALCD-016N001ALCD-016N001A-NFG-ETLCD-016N001A-NGG-ETLCD-016N001A-TFH-ETLCD-016N001A-TMI-ETLCD-016N001A-YYH-ETLCD-016N001BLCD-016N001B-NGG-ETLCD-016N001B-TFH-ETLCD-016N001B-TMI-ETLCD-016N001B-YYH-ETLCD-016N001LLCD-016N001L-NFG-ETLCD-016N001L-TFH-ETLCD-016N001L-TMI-ETLCD-016N001L-YYH-ETLCD-016N002ALCD-016N002BLCD-016N002CLCD-016N002DLCD-016N002JLCD-016N002L1LCD-016N002MLCD-016N002OLCD-016N002PLCD-016N002SLCD-016N002TLCD-016N002V2LCD-016N002WLCD-016N004ALCD-016N004BLCD-020N002ALCD-020N002DLCD-020N002LLCD-020N002MLCD-020N004A, LCD-020N004BLCD-020N004DLCD-020N004LLCD-024N002ALCD-040N002ALCD-040N004A",Type(V)▲▼(all)Character,Display Format▲▼(all)8 x 2 characters12 x 2 characters16 x 1 characters16 x 2 characters16 x 4 characters20 x 2 characters20 x 4 characters24 x 2 characters40 x 2 characters40 x 4 characters,Outline Dimensions(W x H mm)▲▼(all)55.7 x 32.058.0 x 32.058.0 x 32.0 x 8.9 max.58.0 x 32.0 x 13.2 max.59.0 x 29.365.4 x 28.269.0 x 29.270.6 x 60.077.0 x 47.080.0 x 36.080.0 x 36.0 x 9.780.0 x 36.0 x 13.280.0 x 36.0 x 13.584.0 x 44.085.0 x 25.285.0 x 28.085.0 x 28.0 x 9.785.0 x 28.0 x 13.585.0 x 30.085.0 x 32.685.0 x 36.087.0 x 60.089.0 x 19.689.0 x 21.598.0 x 60.0116.0 x 37.0118.0 x 36.0122.0 x 33.0122.0 x 33.0 x 9.8 max.122.0 x 33.0 x 13.5 max122.0 x 44.0146.0 x 43.0146.0 x 62.5180.0 x 40.0182.0 x 33.5190.0 x 54.0,Effective Viewing Area(W x H mm)▲▼(all)38.0 x 16.046.0 x 14.552.0 x 15.054.8 x 19.060.0 x 22.060.0 x 32.661.0 x 15.962.0 x 26.066.0 x 16.075.0 x 15.077.0 x 25.285.0 x 18.694.5 x 16.099.0 x 13.099.0 x 24.0123.0 x 23.0123.5 x 43.0147.0 x 29.5149.0 x 23.0154.4 x 16.5,Character Size(W x H mm)▲▼(all)2.3 x 4.032.45 x 4.672.65 x 5.502.67 x 5.572.78 x 4.892.95 x 4.752.95 x 5.152.95 x 5.552.96 x 5.563.07 x 6.563.2 x 5.553.55 x 5.554.84 x 8.064.84 x 9.224.84 x 9.666.0 x 9.66,Dot Size(W x H mm)▲▼(all)0.42 x 0.460.45 x 0.540.45 x 0.600.50 x 0.550.51 x 0.670.55 x 0.550.55 x 0.600.55 x 0.650.55 x 0.750.56 x 0.660.60 x 0.650.92 x 1.101.12 x 1.12,Dot Pitch(W x H mm)▲▼(all)0.47 x 0.510.50 x 0.590.54 x 0.700.55 x 0.700.57 x 0.620.60 x 0.600.60 x 0.650.60 x 0.700.63 x 0.830.65 x 0.700.70 x 0.650.98 x 1.161.22 x 1.22,Driving Method (Duty)▲▼(all)1/16,Built-In Controller▲▼(all)KS 0066 (or equivalent)ST 7066ST 7066 (or equivalent)ST 7066 or equivalentST7066 or equivalent,Process Color TN▲▼(all)x,Process Color STN Gray▲▼(all)x,Process Color STN Yellow▲▼(all)x,Process Color STN Blue▲▼(all)x,Process Color STN Color▲▼(all),BL None▲▼(all)x,BL LED▲▼(all)x,BL EL▲▼(all)x,BL CCFL▲▼(all),Image path
LCD-016N002B,Character,16 x 2 characters,80.0 x 36.0,66.0 x 16.0,2.96 x 5.56,0.55 x 0.65,0.60 x 0.70,1/16,KS 0066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002C,Character,16 x 2 characters,85.0 x 36.0,66.0 x 16.0,2.96 x 5.56,0.55 x 0.65,0.60 x 0.70,1/16,KS 0066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002D,Character,16 x 2 characters,85.0 x 30.0,66.0 x 16.0,2.96 x 5.56,0.55 x 0.65,0.60 x 0.70,1/16,KS 0066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002J,Character,16 x 2 characters,85.0 x 36.0,66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,KS 0066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002L1,Character,16 x 2 characters,122.0 x 44.0,99.0 x 24.0,4.84 x 9.66,0.92 x 1.10,0.98 x 1.16,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002L1,Character,16 x 2 characters,122.0 x 44.0,99.0 x 24.0,4.84 x 9.66,0.92 x 1.10,0.98 x 1.16,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002M,Character,16 x 2 characters,85.0 x 32.6,66.0 x 16.0,2.96 x 5.56,0.56 x 0.66,0.60 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002O,Character,16 x 2 characters,85.0 x 25.2,66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002P,Character,16 x 2 characters,85.0 x 25.2,66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002S,Character,16 x 2 characters,59.0 x 29.3,52.0 x 15.0,2.45 x 4.67,0.45 x 0.54,0.50 x 0.59,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002T,Character,16 x 2 characters,65.4 x 28.2,54.8 x 19.0,2.67 x 5.57,0.51 x 0.67,0.54 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002V2,Character,16 x 2 characters,89.0 x 19.6,61.0 x 15.9,2.95 x 5.55,0.55 x 0.55,0.60 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,,,
LCD-016N002V2,Character,16 x 2 characters,69.0 x 29.2,61.0 x 15.9,3.55 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N002W,Character,16 x 2 characters,80.0 x 36.0,66.0 x 16.0,2.95 x 5.55,0.55 x 0.65,0.60 x 0.70,1/16,ST 7066,x,x,x,x,,x,x,x,,
LCD-016N004A,Character,16 x 4 characters,87.0 x 60.0,62.0 x 26.0,2.95 x 4.75,0.55 x 0.55,0.60 x 0.60,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-016N004B,Character,16 x 4 characters,70.6 x 60.0,60.0 x 32.6,2.95 x 4.75,0.55 x 0.55,0.60 x 0.60,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-020N002A,Character,20 x 2 characters,116.0 x 37.0,85.0 x 18.6,3.2 x 5.55,0.60 x 0.65,0.65 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-020N002D,Character,20 x 2 characters,89.0 x 21.5,75.0 x 15.0,2.95 x 5.15,0.55 x 0.60,0.60 x 0.65,1/16,ST 7066 (or equivalent),,x,x,x,,,x,,,
LCD-020N002L,Character,20 x 2 characters,180.0 x 40.0,149.0 x 23.0,6.0 x 9.66,1.12 x 1.12,1.22 x 1.22,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-020N002M,Character,20 x 2 characters,146.0 x 43.0,123.0 x 23.0,4.84 x 9.22,0.92 x 1.10,0.98 x 1.16,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
"LCD-020N004A, LCD-020N004B",Character,20 x 4 characters,98.0 x 60.0,77.0 x 25.2,2.95 x 4.75,0.55 x 0.55,0.60 x 0.60,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-020N004D,Character,20 x 4 characters,77.0 x 47.0,60.0 x 22.0,2.3 x 4.03,0.42 x 0.46,0.47 x 0.51,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-020N004L,Character,20 x 4 characters,146.0 x 62.5,123.5 x 43.0,4.84 x 9.22,0.92 x 1.10,0.98 x 1.16,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-024N002A,Character,24 x 2 characters,118.0 x 36.0,94.5 x 16.0,3.2 x 5.55,0.60 x 0.65,0.70 x 0.65,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-040N002A,Character,40 x 2 characters,182.0 x 33.5,154.4 x 16.5,3.2 x 5.55,0.60 x 0.65,0.65 x 0.70,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
LCD-040N004A,Character,40 x 4 characters,190.0 x 54.0,147.0 x 29.5,2.78 x 4.89,0.50 x 0.55,0.57 x 0.62,1/16,ST 7066 (or equivalent),x,x,x,x,,x,x,x,,
