Series▲▼(all)LCF-102PTIFGDBN0H,Type(V)▲▼(all)TFT,"Diagonal Dimension▲▼(all)10.2""",Display Formatdots▲▼(all)800 x 480,Module Dimensions (W x H x D)mm(W x H mm)▲▼(all)235.0 x 145.8 x 12.1,Active Area (W x H)mm(W x H mm)▲▼(all)222.0 x 132.48,Dot Pitch (W x H)mm(W x H mm)▲▼(all)0.0925 x 0.276,Built-In Controller▲▼(all)RA8875,Image path
LCF-102PTIFGDBN0H,TFT,"10.2""",800 x 480,235.0 x 145.8 x 12.1,222.0 x 132.48,0.0925 x 0.276,RA8875,
