File Name,Description,PART NUMBER,,"L
0
INDUCTANCE
± 20 % AT
100 kHz,
0.25 V, 0 A
(μH)","DCR
NOM.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)"
IHCL-4040DZ-51 15 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER150M51 15 µH,"L
1-2",15.0,109.0,116.6,3.3,6.0
IHCL-4040DZ-51 15 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER150M51 15 µH,"L
3-4",15.0,111.0,118.6,3.5,6.0
IHCL-4040DZ-51 15 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER610M51 15 µH,"L
1-4
(L shorted)
2-3",61.0,220.0,235.0,2.3,2.7
IHCL-4040DZ-51 15 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER1R0M51 15 µH,"L
1-3
(L shorted)
2-4",1.0,220.0,235.0,2.3,See note (3)
IHCL-4040DZ-51 15 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER150M51 15 µH,"L
Common Mode
(1-3 and
2-4 shorted)",15.0,51.0,53.0,5.5,6.3
IHCL-4040DZ-51 15 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZERR0M51 15 µH,"L
Differential
Mode
(1-4 and
2-3 shorted)",0.0,51.0,53.0,5.5,See note (3)
