File Name,Description,PART NUMBER,"COMMON MODE
IMPEDANCE
AT 100 MHz, ± 20 %
(Ω) (1)","RATED
VOLTAGE
(V )
DC","WITHSTANDING
VOLTAGE
(V )
DC","RATED CURRENT
MAX.
(mA) (2)","DC RESISTANCE
MAX.
(Ω)","INSULATION
RESISTANCE MI
(MΩ)"
ICM-1206,"www.vishay.com Vishay Dale
Surface-Mount Common Mode Choke
FEATURES
• Operating temperature: -40 °C to +85 °C
• Excellent solderability and resistance to",ICM1206ER900M,90.0,50.0,125.0,370.0,0.3,10.0
ICM-1206,"www.vishay.com Vishay Dale
Surface-Mount Common Mode Choke
FEATURES
• Operating temperature: -40 °C to +85 °C
• Excellent solderability and resistance to",ICM1206ER161M,160.0,50.0,125.0,340.0,0.4,10.0
ICM-1206,"www.vishay.com Vishay Dale
Surface-Mount Common Mode Choke
FEATURES
• Operating temperature: -40 °C to +85 °C
• Excellent solderability and resistance to",ICM1206ER261M,260.0,50.0,125.0,310.0,0.5,10.0
ICM-1206,"www.vishay.com Vishay Dale
Surface-Mount Common Mode Choke
FEATURES
• Operating temperature: -40 °C to +85 °C
• Excellent solderability and resistance to",ICM1206ER601M,600.0,50.0,125.0,260.0,0.8,10.0
ICM-1206,"www.vishay.com Vishay Dale
Surface-Mount Common Mode Choke
FEATURES
• Operating temperature: -40 °C to +85 °C
• Excellent solderability and resistance to",ICM1206ER102M,1000.0,50.0,125.0,230.0,1.0,10.0
ICM-1206,"www.vishay.com Vishay Dale
Surface-Mount Common Mode Choke
FEATURES
• Operating temperature: -40 °C to +85 °C
• Excellent solderability and resistance to",ICM1206ER222M,2200.0,50.0,125.0,200.0,1.2,10.0
