File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R1M51;0.10;7.01;7.50;11.50;11.79;455
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R15M51;0.15;9.09;9.73;10.23;9.04;328
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R22M51;0.22;11.15;12.22;8.83;6.76;235
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R33M51;0.33;15.26;16.33;6.42;5.26;165
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R47M51;0.47;23.47;24.91;5.99;5.01;138
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R68M51;0.68;33.72;36.40;4.98;4.09;113
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER0R82M51;0.82;42.47;45.44;4.26;4.00;98
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER1R0M51;1.0;46.35;49.60;4.05;4.30;87
IHLP-1212AB-51;image/small_inductors/34540.png;IHLP® Commercial Inductors, High Temperature (155 °C) Series;IHLP1212ABER1R2M51;1.2;53.49;57.65;3.98;3.84;82
