File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR 25 °C (mΩ);MAX.;MAX.;MAX.;HEAT RATING CURRENT DC (A) (3);MAX.;MAX.;MAX.;SATURATION CURRENT DC (A) (4);MAX.;MAX.;MAX.
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER000M01;;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER0R22M01;0.22;15;19;4.68;5.5;5.2;19;4.68;5.5;6.1;19;4.68;5.5
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER0R24M01;0.24;16;20.5;4.2;5.4;4.7;20.5;4.2;5.4;6;20.5;4.2;5.4
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER0R47M01;0.47;31;39;3.3;3.85;3.8;39;3.3;3.85;4.4;39;3.3;3.85
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER1R0M01;1;49;65;2.8;3.1;3.1;65;2.8;3.1;3.5;65;2.8;3.1
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER1R5M01;1.5;116;140;1.9;2.2;2.1;140;1.9;2.2;2.5;140;1.9;2.2
IHHP-0806AZ-01;image/small_inductors/34382.png;Low Profile, High Current Inductors;IHHP0806AZER2R2M01;2.2;132;158;1.8;1.8;2;158;1.8;1.8;2.1;158;1.8;1.8
