File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER0R33M5A;0.33;1.05;1.12;36.00;20.80;70.00
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER0R47M5A;0.47;1.30;1.39;35.50;20.30;65.00
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER0R68M5A;0.68;2.00;2.14;27.00;19.10;48.73
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER1R0M5A;1.0;2.35;2.50;26.70;17.61;39.85
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER2R2M5A;2.2;4.59;4.91;18.40;17.58;25.01
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER3R3M5A;3.3;7.42;7.94;14.80;14.30;20.00
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER4R7M5A;4.7;11.00;11.77;11.50;11.90;16.45
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER8R2M5A;8.2;20.90;22.36;8.61;11.10;12.55
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER100M5A;10;26.00;27.82;7.45;6.37;12.01
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER150M5A;15;36.70;39.27;6.50;5.17;8.17
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER220M5A;22;46.00;49.22;5.53;4.99;7.23
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER330M5A;33;74.00;79.18;4.40;4.40;6.07
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER470M5A;47;119.50;127.87;3.60;3.60;4.60
IHLP-4040ED-5A;image/small_inductors/34499.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP4040EDER750M5A;75;204.00;214.20;2.74;3.51;3.53
