File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-1212AZ-5A;image/small_inductors/34531.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP1212AZER0R1M5A;0.10;7.31;8.81;11.13;7.38;440
IHLP-1212AZ-5A;image/small_inductors/34531.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP1212AZER0R22M5A;0.22;13.89;14.87;7.72;5.88;225
IHLP-1212AZ-5A;image/small_inductors/34531.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP1212AZER0R33M5A;0.33;21.07;23.30;5.85;5.05;187
IHLP-1212AZ-5A;image/small_inductors/34531.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP1212AZER0R47M5A;0.47;26.66;27.92;5.35;4.43;152
IHLP-1212AZ-5A;image/small_inductors/34531.png;IHLP® Automotive Inductors, High Temperature (155 °C) Series;IHLP1212AZER1R0M5A;1.0;56.71;58.99;3.59;3.62;91
