File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-1616AB-L1;image/small_inductors/34205.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP1616ABER0R047ML1;0.047;3.25;3.75;13.0;32.0;565
IHLP-1616AB-L1;image/small_inductors/34205.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP1616ABER0R1ML1;0.10;5.50;6.00;11.5;25.0;277
IHLP-1616AB-L1;image/small_inductors/34205.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP1616ABER0R22ML1;0.22;11.0;12.0;8.5;20.0;183
IHLP-1616AB-L1;image/small_inductors/34205.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP1616ABER0R47ML1;0.47;20.0;22.0;5.0;13.0;101
IHLP-1616AB-L1;image/small_inductors/34205.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP1616ABER0R68ML1;0.68;29.3;31.4;4.9;9.3;100
IHLP-1616AB-L1;image/small_inductors/34205.png;IHLP® Tin/Lead Inductors, High Saturation Series;IHLP1616ABER1R0ML1;1.0;50.0;52.5;4.0;7.0;64
