File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANC ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);E DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER0R47M5L;0.47;0.89;0.95;65.0;76.0;52.3
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER1R0M5L;1.0;1.36;1.46;53.0;42.0;35.5
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER1R5M5L;1.5;1.72;1.85;40.5;40.0;24.0
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER2R2M5L;2.2;2.25;2.41;38.5;38.0;19.8
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER3R3M5L;3.3;3.06;3.27;32.2;32.0;16.5
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER4R7M5L;4.7;4.89;5.23;24.0;26.0;14.0
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER100M5L;10.0;10.20;10.91;16.0;13.0;7.70
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER150M5L;15.0;15.85;16.96;12.5;13.0;8.55
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER000M5L;22.0 33.0;21.28 36.2;22.27 38.9;11.7 8.8;11.0 9.4;5.97 4.43
IHLP-6767GZ-5L;image/small_inductors/34354.png;IHLP® Tin / Lead Inductors, High Temperature (155 °C) Series;IHLP6767GZER470M5L;47.0;52.7;56.4;7.25;7.0;3.72
