File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZERR33M8A,0.33,3.25,3.48,22.0,16.0,112.0
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZERR47M8A,0.47,3.87,4.14,20.0,14.0,79.6
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZERR68M8A,0.68,5.38,5.76,16.5,17.0,62.8
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZERR82M8A,0.82,6.75,7.22,13.8,16.8,72.9
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER1R0M8A,1.0,7.9,8.45,12.0,13.0,59.1
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER1R5M8A,1.5,12.3,13.2,10.6,11.6,45.9
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER2R2M8A,2.2,17.1,18.3,8.1,10.8,34.3
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER3R3M8A,3.3,26.5,28.4,6.8,8.3,28.3
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER4R7M8A,4.7,35.9,38.4,5.6,5.6,25.5
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER5R6M8A,5.6,42.6,45.6,5.3,4.8,23.0
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER6R8M8A,6.8,53.8,57.6,4.4,4.4,16.0
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER100M8A,10.0,71.9,76.9,4.0,2.9,13.9
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER150M8A,15.0,98.9,105.9,3.7,2.8,10.4
IHLP-2525CZ-8A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (180 °C) Series
FEATURES
• High temperature, up to 180 °C
• Shielded construction",IHLP2525CZER220M8A,22.0,163.0,174.0,2.8,2.2,8.76
