File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR AT 25 °C (mΩ);MAX.;HEAT RATING CURRENT DC (A) (1);SATURATION CURRENT DC (A);TYP. (3);SRF TYP (MHz
IHSR-4040DZ-5A;image/small_inductors/34476.png;Automotive Inductors, High Temperature (155 °C) Series;IHSR4040DZER000M5A;;TYP.;MAX.;TYP.;TYP. (2);TYP. (3);
IHSR-4040DZ-5A;image/small_inductors/34476.png;Automotive Inductors, High Temperature (155 °C) Series;IHSR4040DZER0R13M5A;0.13;0.54;0.58;72.0;63.0;92.0;151
