File Name,Description,PART NUMBER,"L
0
INDUCTANC
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","E
DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABERR1M01,0.1,8.98,9.61,10.48,18.92,419.0
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABERR15M01,0.15,11.12,12.14,9.06,13.13,320.0
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABERR22M01,0.22,12.29,13.21,7.93,10.23,251.0
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABERR33M01,0.33,17.58,18.34,6.96,9.32,180.0
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABERR47M01,0.47,26.04,27.39,5.86,8.17,157.0
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABER1R0M01,1.0,50.5,53.72,4.13,5.85,86.0
IHLP-1212AB-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Shielded construction
• Lowest DCR/μH, in this package size",IHLP1212ABER1R2M01,1.2,60.16,62.79,3.81,5.61,79.0
