File Name,Description,PART NUMBER,"L INDUCTANCE
0
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR TYP.
25 °C
(mΩ)","DCR MAX.
25 °C
(mΩ)","HEAT RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SATURATION
CURRENT
DC TYP.
(A) (3)","SRF TY
(MHz"
IHLP-1616BZ-0H,"www.vishay.com Vishay Dale
High Frequency, Low Profile, High Current IHLP® Inductors
FEATURES
• Shielded construction
• Extended frequency range up to 10 MHz",IHLP1616BZERR10M0H,0.1,5.5,5.9,14.0,36.0,45.0,485.0
IHLP-1616BZ-0H,"www.vishay.com Vishay Dale
High Frequency, Low Profile, High Current IHLP® Inductors
FEATURES
• Shielded construction
• Extended frequency range up to 10 MHz",IHLP1616BZERR47M0H,0.47,15.4,16.5,8.5,13.0,15.5,140.0
IHLP-1616BZ-0H,"www.vishay.com Vishay Dale
High Frequency, Low Profile, High Current IHLP® Inductors
FEATURES
• Shielded construction
• Extended frequency range up to 10 MHz",IHLP1616BZER1R0M0H,1.0,26.6,28.5,6.1,10.3,13.0,91.0
