Series▲▼,Product Image,IT(AV)(A)▲▼,TC(°C)▲▼,IT(RMS)(A)▲▼,VDRM/VRRM(V)▲▼,ITSMat 50 Hz(A)▲▼,ITSMat 60 Hz(A)▲▼,VTMat ITM(V at A)▲▼,TJ(°C)▲▼,dV/dt(V/µs)▲▼,Package▲▼,Circuit Configuration▲▼,Image path
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,150,145,150,2 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,100,145,150,2 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,50,145,150,2 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,25,145,150,2 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,25,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,50,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,100,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,150,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,200,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,250,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,300,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,400,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,500,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,600,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,700,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,16,65,25,800,145,150,2.3 at 16,-40 to +125,,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,600,285,300,2 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,700,285,300,2 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,800,285,300,2 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,1000,285,300,2 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,1200,285,300,2 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,600,285,300,2.3 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,700,285,300,2.3 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,800,285,300,2.3 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,1000,285,300,2.3 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
"VS-2N681, VS-2N5205 Series",Enlarge,22,40,35,1200,285,300,2.3 at 22,-40 to +125,100,TO-48 (TO-208AA),Single SCR,image/thyristors/phase-control-discrete/93706.png
VS-30TPS..-M3 Series,Enlarge,20,95,30,800,300,,1.3 at 20,-40 to +125,500,TO-247AC 3L,Single SCR,image/thyristors/phase-control-discrete/94386.png
VS-30TPS..-M3 Series,Enlarge,20,95,30,1200,300,,1.3 at 20,-40 to +125,500,TO-247AC 3L,Single SCR,image/thyristors/phase-control-discrete/94386.png
VS-30TPS12L-M3,Enlarge,20,95,30,1200,300,,1.3 at 20,-40 to +125,500,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/95991.png
VS-30TPS12LHM3,Enlarge,20,95,30,1200,300,,1.3 at 20,-40 to +125,500,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96126.png
VS-30TPS16-M3,Enlarge,20,95,30,1600,300,,1.3 at 20,-40 to +125,500,TO-247AC 3L,Single SCR,image/thyristors/phase-control-discrete/94387.png
VS-30TPS16L-M3,Enlarge,20,95,30,1600,300,,1.3 at 20,-40 to +125,500,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/95992.png
VS-30TPS16LHM3,Enlarge,20,95,30,1600,300,,1.3 at 20,-40 to +125,500,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96491.png
VS-40TPS...-M3 Series,Enlarge,35,79,55,800,600,,1.85 at 110,-40 to +125,1000,TO-247AC 3L,Single SCR,image/thyristors/phase-control-discrete/94388.png
VS-40TPS...-M3 Series,Enlarge,35,79,55,1200,600,,1.85 at 110,-40 to +125,1000,TO-247AC 3L,Single SCR,image/thyristors/phase-control-discrete/94388.png
VS-40TPS12ALHM3,Enlarge,35,79,55,1200,600,,1.85 at 110,-40 to +125,500,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96604.png
"VS-40TPS12L-M3, VS-40TPS12AL-M3",Enlarge,35,79,55,1200,600,,1.85 at 110,-40 to +125,1000,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/95993.png
VS-40TPS12LHM3,Enlarge,35,104,55,1200,600,,1.85 at 110,-40 to +150,1000,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/95925.png
VS-40TPS16-M3,Enlarge,35,79,55,1600,500,,1.85 at 110,-40 to +125,1000,TO-247AC 3L,Single SCR,image/thyristors/phase-control-discrete/94389.png
VS-40TPS16L-M3,Enlarge,35,79,55,1600,500,,1.92 at 110,-40 to +125,1000,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/95994.png
VS-40TPS16LHM3,Enlarge,35,79,55,1600,500,,1.92 at 110,-40 to +125,1000,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96134.png
VS-40TTS12-M3,Enlarge,25,93,40,1200,350,,1.6 at 80,-40 to 140,500,TO-220AB 3L,Single SCR,image/thyristors/phase-control-discrete/96289.png
VS-40TTS12HM3,Enlarge,25,93,40,1200,350,,1.6 at 80,-40 to +140,500,TO-220AB,Single SCR,image/thyristors/phase-control-discrete/96127.png
VS-50RIA Series,Enlarge,50,94,80,200,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50RIA Series,Enlarge,50,94,80,100,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50RIA Series,Enlarge,50,94,80,400,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50RIA Series,Enlarge,50,94,80,600,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50RIA Series,Enlarge,50,94,80,800,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50RIA Series,Enlarge,50,94,80,1000,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50RIA Series,Enlarge,50,94,80,1200,1430,1490,1.60 at 157,-40 to +125,200,TO-65 (TO-208AC),Single SCR,image/thyristors/phase-control-discrete/93711.png
VS-50TPS12AL-M3,Enlarge,50,112,79,1200,630,,,-40 to +150,500,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96593.png
VS-50TPS12L-M3,Enlarge,50,112,79,1200,630,,,-40 to +150,1000,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/95867.png
VS-50TPS12LHM3,Enlarge,50,112,79,1200,630,,,150,,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96108.png
"VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series",Enlarge,70,109,75,1200,930,,1.4 at 100,-40 to 150,500,Super TO-247,Single SCR,image/thyristors/phase-control-discrete/97191.png
"VS-70TPS12-M3, VS-70TPS16-M3 High Voltage Series",Enlarge,70,109,75,1600,930,,1.4 at 100,-40 to 150,500,Super TO-247,Single SCR,image/thyristors/phase-control-discrete/97191.png
"VS-80RIA...PbF, VS-81RIA...PbF, VS-82RIA...PbF Series",Enlarge,80,85,125,1200,1900,1990,1.60 at 250,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94392.png
"VS-80RIA...PbF, VS-81RIA...PbF, VS-82RIA...PbF Series",Enlarge,80,85,125,800,1900,1990,1.60 at 250,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94392.png
"VS-80RIA...PbF, VS-81RIA...PbF, VS-82RIA...PbF Series",Enlarge,80,85,125,400,1900,1990,1.60 at 250,-40 to +125,500,TO-94 (TO-209AC),Single SCR,image/thyristors/phase-control-discrete/94392.png
VS-80TPS16L-M3,Enlarge,80,113,126,1600,1000,,,-40 to +150,,TO-247AD 3L,Single SCR,image/thyristors/phase-control-discrete/96072.png
VS-ST1000C..K Series,Enlarge,1473,55,2913,2200,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
VS-ST1000C..K Series,Enlarge,1473,55,2913,2000,20,21.2,1.80 at 3000,-40 to +125,500,K-PUK (A-24),Single SCR,image/thyristors/phase-control-discrete/93714.png
