Series▲▼,Product Image,IT(AV)(A)▲▼,TC(°C)▲▼,IT(RMS)(A)▲▼,VDRM/VRRM(V)▲▼,ITSMat 50 Hz(A)▲▼,ITSMat 60 Hz(A)▲▼,VTMat ITM(V at A)▲▼,TJ(°C)▲▼,dV/dt(V/µs)▲▼,Package▲▼,Circuit Configuration▲▼,Image path
VS-ST300CL Series,Enlarge,560,55,1115,1800,8000,8380,2.18 at 1635,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94405.png
VS-ST300CL Series,Enlarge,560,55,1115,1600,8000,8380,2.18 at 1635,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94405.png
VS-ST300CL Series,Enlarge,560,55,1115,1200,8000,8380,2.18 at 1635,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94405.png
VS-ST300CL Series,Enlarge,560,55,1115,800,8000,8380,2.18 at 1635,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94405.png
VS-ST300CL Series,Enlarge,560,55,1115,400,8000,8380,2.18 at 1635,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94405.png
VS-ST300CL Series,Enlarge,560,55,1115,2000,8000,8380,2.18 at 1635,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94405.png
VS-ST300SPbF Series,Enlarge,300,75,470,1800,8000,8380,1.66 at 940,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94406.png
VS-ST300SPbF Series,Enlarge,300,75,470,1600,8000,8380,1.66 at 940,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94406.png
VS-ST300SPbF Series,Enlarge,300,75,470,1200,8000,8380,1.66 at 940,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94406.png
VS-ST300SPbF Series,Enlarge,300,75,470,800,8000,8380,1.66 at 940,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94406.png
VS-ST300SPbF Series,Enlarge,300,75,470,400,8000,8380,1.66 at 940,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94406.png
VS-ST300SPbF Series,Enlarge,300,75,470,2000,8000,8380,1.66 at 940,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94406.png
VS-ST330C Series,Enlarge,720,55,1420,1400,9000,9420,1.96 at 1810,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94407.png
VS-ST330C Series,Enlarge,720,55,1420,1200,9000,9420,1.96 at 1810,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94407.png
VS-ST330C Series,Enlarge,720,55,1420,800,9000,9420,1.96 at 1810,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94407.png
VS-ST330C Series,Enlarge,720,55,1420,400,9000,9420,1.96 at 1810,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94407.png
VS-ST330C Series,Enlarge,720,55,1420,1600,9000,9420,1.96 at 1810,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94407.png
VS-ST330CL Series,Enlarge,650,55,1230,1400,9000,9420,1.90 at 1730,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94408.png
VS-ST330CL Series,Enlarge,650,55,1230,1200,9000,9420,1.90 at 1730,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94408.png
VS-ST330CL Series,Enlarge,650,55,1230,800,9000,9420,1.90 at 1730,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94408.png
VS-ST330CL Series,Enlarge,650,55,1230,400,9000,9420,1.90 at 1730,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94408.png
VS-ST330CL Series,Enlarge,650,55,1230,1600,9000,9420,1.90 at 1730,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94408.png
VS-ST330SPbF Series,Enlarge,330,75,520,1600,9000,9420,1.52 at 1000,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94409.png
VS-ST330SPbF Series,Enlarge,330,75,520,1400,9000,9420,1.52 at 1000,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94409.png
VS-ST330SPbF Series,Enlarge,330,75,520,1200,9000,9420,1.52 at 1000,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94409.png
VS-ST330SPbF Series,Enlarge,330,75,520,800,9000,9420,1.52 at 1000,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94409.png
VS-ST330SPbF Series,Enlarge,330,75,520,400,9000,9420,1.52 at 1000,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94409.png
VS-ST330SPbF Series,Enlarge,330,75,520,2000,9000,9420,1.52 at 1000,-40 to +125,500,TO-118 (TO-209AE),Single SCR,image/thyristors/phase-control-discrete/94409.png
VS-ST380C Series,Enlarge,960,55,1900,600,15000,15700,1.60 at 3000,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94410.png
VS-ST380C Series,Enlarge,960,55,1900,400,15000,15700,1.60 at 3000,-40 to +125,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94410.png
VS-ST380CH Series,Enlarge,960,80,2220,600,12500,13000,1.58 at 2900,-40 to +150,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94411.png
VS-ST380CH Series,Enlarge,960,80,2220,400,12500,13000,1.58 at 2900,-40 to +150,500,E-PUK (TO-200AB),Single SCR,image/thyristors/phase-control-discrete/94411.png
VS-ST650C..L Series,Enlarge,790,55,1557,2400,10100,10700,2.07 at 1700,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/93738.png
VS-ST650C..L Series,Enlarge,790,55,1557,2200,10100,10700,2.07 at 1700,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/93738.png
VS-ST650C..L Series,Enlarge,790,55,1557,2000,10100,10700,2.07 at 1700,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/93738.png
VS-ST700CL Series,Enlarge,910,55,1857,2000,15700,16400,1.80 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94413.png
VS-ST700CL Series,Enlarge,910,55,1857,1800,15700,16400,1.80 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94413.png
VS-ST700CL Series,Enlarge,910,55,1857,1600,15700,16400,1.80 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94413.png
VS-ST700CL Series,Enlarge,910,55,1857,1200,15700,16400,1.80 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94413.png
VS-ST730CL Series,Enlarge,990,55,2000,1800,17800,18700,1.62 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94414.png
VS-ST730CL Series,Enlarge,990,55,2000,1600,17800,18700,1.62 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94414.png
VS-ST730CL Series,Enlarge,990,55,2000,1400,17800,18700,1.62 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94414.png
VS-ST730CL Series,Enlarge,990,55,2000,1200,17800,18700,1.62 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94414.png
VS-ST730CL Series,Enlarge,990,55,2000,800,17800,18700,1.62 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94414.png
VS-ST730CL Series,Enlarge,990,55,2000,2000,17800,18700,1.62 at 2000,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94414.png
VS-ST780CL Series,Enlarge,1350,55,2700,400,24400,25600,1.31 at 3600,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94415.png
VS-ST780CL Series,Enlarge,1350,55,2700,600,24400,25600,1.31 at 3600,-40 to +125,500,B-PUK (TO-200AC),Single SCR,image/thyristors/phase-control-discrete/94415.png
