File Name,Description,PART NUMBER,"L
0
INDUCTANC
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","E
DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR1M5A,0.1,7.01,7.5,11.5,11.79,455.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR15M5A,0.15,9.09,9.73,10.23,9.04,328.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR22M5A,0.22,11.15,12.22,8.83,6.76,235.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR33M5A,0.33,15.26,16.33,6.42,5.26,165.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR47M5A,0.47,23.47,24.91,5.99,5.01,138.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR68M5A,0.68,33.72,36.4,4.98,4.09,113.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABERR82M5A,0.82,42.47,45.44,4.26,4.0,98.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABER1R0M5A,1.0,46.35,49.6,4.05,4.3,87.0
IHLP-1212AB-5A,"www.vishay.com Vishay Dale
IHLP® Automotive Inductors, High Temperature (155 °C) Series
FEATURES
• Shielded construction
• High temperature, up to 155 °C",IHLP1212ABER1R2M5A,1.2,53.49,57.65,3.98,3.84,82.0
