File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (m);DCR MAX. 25 °C (m);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2);SRF TYP. (MHz)
IHLP-1212AB-11;image/small_inductors/34299.png;IHLP® Commercial Inductors, Low DCR Series;IHLP1212ABER0R22M11;0.22;9.5;11.4;9.3;9.3;220
IHLP-1212AB-11;image/small_inductors/34299.png;IHLP® Commercial Inductors, Low DCR Series;IHLP1212ABER0R33M11;0.33;12.0;14.3;7.2;8.7;175
IHLP-1212AB-11;image/small_inductors/34299.png;IHLP® Commercial Inductors, Low DCR Series;IHLP1212ABER0R47M11;0.47;16.3;19.5;6.4;7.0;140
IHLP-1212AB-11;image/small_inductors/34299.png;IHLP® Commercial Inductors, Low DCR Series;IHLP1212ABER0R56M11;0.56;18.7;22.0;5.1;6.7;135
IHLP-1212AB-11;image/small_inductors/34299.png;IHLP® Commercial Inductors, Low DCR Series;IHLP1212ABER0R68M11;0.68;22.5;25.0;4.0;5.5;110
IHLP-1212AB-11;image/small_inductors/34299.png;IHLP® Commercial Inductors, Low DCR Series;IHLP1212ABER1R0M11;1.0;32.7;37.5;4.0;5.0;90
