File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR 25 °C (m);MAX.;MAX.;MAX.;HEAT RATING CURRENT DC (A) (3);MAX.;MAX.;MAX.;SATURATION CURRENT DC (A) (4);MAX.;MAX.;MAX.
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER000M01;;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER0R22M01;0.22;8.4;10.5;6.60;6.50;7.40;10.5;6.60;6.50;7.10;10.5;6.60;6.50
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER0R24M01;0.24;11;13;5.70;6.00;6.40;13;5.70;6.00;6.60;13;5.70;6.00
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER0R33M01;0.33;14;17;5.00;5.50;5.60;17;5.00;5.50;6.10;17;5.00;5.50
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER0R47M01;0.47;21;26;4.00;4.55;4.50;26;4.00;4.55;5.05;26;4.00;4.55
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER1R0M01;1.0;40;48;2.70;3.50;3.10;48;2.70;3.50;3.90;48;2.70;3.50
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER1R5M01;1.5;57;69;2.43;2.80;2.70;69;2.43;2.80;3.10;69;2.43;2.80
IHHP-1008AB-01;image/small_inductors/34391.png;Low Profile, High Current Inductors;IHHP1008ABER2R2M01;2.2;79;95;2.00;2.30;2.30;95;2.00;2.30;2.60;95;2.00;2.30
