File Name,Description,PART NUMBER,"L
0
INDUCTANC
E
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
TYP.
25
°C
(m)","DCR
MAX
.
25
°C
(m)","HEAT
RATING
CURREN
T
DC TYP.
(A) (1)","SATURATIO
N
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZERR1M1L,0.1,4.1,4.5,12.0,12.0,299.0
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZERR22M1L,0.22,6.5,7.0,9.0,9.0,158.0
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZERR47M1L,0.47,14.5,16.0,7.0,7.0,97.0
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZER1R0M1L,1.0,24.0,27.0,4.5,5.0,64.0
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZER2R2M1L,2.2,61.0,68.0,3.25,3.25,40.0
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZER3R3M1L,3.3,89.3,94.3,2.7,2.2,35.0
IHLP-1616BZ-1L,"www.vishay.com Vishay Dale
IHLP® Tin/Lead Inductors, Low DCR Series
FEATURES
• Shielded construction
• Frequency range up to 1.0 MHz",IHLP1616BZER4R7M1L,4.7,95.0,105.0,1.7,1.75,29.0
