File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 % AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
TYP.
25 °C
(mΩ)","DCR
MAX.
25 °C
(mΩ)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)"
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDERR1M01,0.1,1.5,1.7,30.0,50.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDERR22M01,0.22,2.9,3.2,21.0,34.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDERR33M01,0.33,3.7,4.1,18.0,22.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDERR47M01,0.47,6.0,6.5,13.5,21.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDERR68M01,0.68,8.7,9.4,11.0,18.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDERR82M01,0.82,10.6,11.8,10.0,17.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER1R0M01,1.0,13.1,14.2,9.0,16.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER1R5M01,1.5,18.5,21.2,7.5,15.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER2R2M01,2.2,28.0,34.0,6.5,14.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER3R3M01,3.3,36.5,51.6,5.0,13.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER4R7M01,4.7,45.2,63.0,4.5,10.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER6R8M01,6.8,72.5,95.0,3.5,9.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER8R2M01,8.2,84.2,106.0,3.0,8.0
IHLP-2525BD-01,"www.vishay.com Vishay Dale
IHLP® Commercial Inductors, High Saturation Series
FEATURES
• Lowest height (2.4 mm) in this package footprint
• Shielded construction",IHLP2525BDER100M01,10.0,115.6,129.0,2.5,7.0
