Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
096 PLL-4TSI;Enlarge;MAL209616152E3;1500;400;Snap-In;Ø35x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209669821E3;820;500;Snap-In;Ø35x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209676152E3;1500;400;Snap-In;Ø40x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209628222E3;2200;385;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209679821E3;820;500;Snap-In;Ø40x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209626152E3;1500;400;Snap-In;Ø40x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209678222E3;2200;385;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209629821E3;820;500;Snap-In;Ø40x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209636152E3;1500;400;Snap-In;Ø45x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209636222E3;2200;400;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209674152E3;1500;420;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209634222E3;2200;420;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209624152E3;1500;420;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209635272E3;2700;350;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209615102E3;1000;350;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209617681E3;680;450;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209615122E3;1200;350;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209634152E3;1500;420;Snap-In;Ø45x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209638272E3;2700;385;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209665102E3;1000;350;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209627681E3;680;450;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209675122E3;1200;350;Snap-In;Ø40x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209627152E3;1500;450;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209636272E3;2700;400;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209675102E3;1000;350;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209677681E3;680;450;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209625122E3;1200;350;Snap-In;Ø40x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209677152E3;1500;450;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209669391E3;390;500;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209625102E3;1000;350;Snap-In;Ø40x50;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209619681E3;680;500;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209618122E3;1200;385;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209637152E3;1500;450;Snap-In;Ø45x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209619391E3;390;500;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209668102E3;1000;385;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209669681E3;680;500;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209668122E3;1200;385;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209639152E3;1500;500;Snap-In;Ø45x100;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209669471E3;470;500;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209618102E3;1000;385;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209629681E3;680;500;Snap-In;Ø40x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209628122E3;1200;385;Snap-In;Ø40x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209625182E3;1800;350;Snap-In;Ø40x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209619471E3;470;500;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209628102E3;1000;385;Snap-In;Ø40x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209679681E3;680;500;Snap-In;Ø40x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209678122E3;1200;385;Snap-In;Ø40x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209615821E3;820;350;Snap-In;Ø35x50;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209616122E3;1200;400;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209675182E3;1800;350;Snap-In;Ø40x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209617561E3;560;450;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209678102E3;1000;385;Snap-In;Ø40x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209665821E3;820;350;Snap-In;Ø35x50;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209666122E3;1200;400;Snap-In;Ø35x80;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209635182E3;1800;350;Snap-In;Ø45x60;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209667561E3;560;450;Snap-In;Ø35x60;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209666102E3;1000;400;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209625821E3;820;350;Snap-In;Ø40x40;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209626122E3;1200;400;Snap-In;Ø40x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209678182E3;1800;385;Snap-In;Ø40x100;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209669561E3;560;500;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, Printed Wiring, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
096 PLL-4TSI;Enlarge;MAL209616102E3;1000;400;Snap-In;Ø35x70;+85 °C;5000;"""Large Can, 4-Terminal SI, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28392.png
101/102 PHR-ST;Enlarge;MAL210116154E3;150000;25;Screw-Terminal;Ø65x105;+85 °C;15000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210265472E3;4700;350;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210213223E3;22000;250;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210235103E3;10000;350;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210138473E3;47000;63;Screw-Terminal;Ø65x105;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210117223E3;22000;40;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210212681E3;680;200;Screw-Terminal;Ø35x60;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210285332E3;3300;350;Screw-Terminal;Ø65x105;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210266152E3;1500;400;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210126683E3;68000;25;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210159332E3;3300;100;Screw-Terminal;Ø35x60;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210137104E3;100000;40;Screw-Terminal;Ø65x105;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210263682E3;6800;250;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210243333E3;33000;250;Screw-Terminal;Ø90x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210223222E3;2200;250;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210223102E3;1000;250;Screw-Terminal;Ø35x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210126334E3;330000;25;Screw-Terminal;Ø76x146;+85 °C;15000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210253102E3;1000;250;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210166334E3;330000;25;Screw-Terminal;Ø76x146;+85 °C;15000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210136154E3;150000;25;Screw-Terminal;Ø65x105;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210258472E3;4700;385;Screw-Terminal;Ø76x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210253223E3;22000;250;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210215103E3;10000;350;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210148473E3;47000;63;Screw-Terminal;Ø76x105;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210167223E3;22000;40;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210129103E3;10000;100;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210253681E3;680;250;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210245332E3;3300;350;Screw-Terminal;Ø65x105;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210217152E3;1500;450;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210116683E3;68000;25;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210129332E3;3300;100;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210187104E3;100000;40;Screw-Terminal;Ø76x105;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210243682E3;6800;250;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210213471E3;470;250;Screw-Terminal;Ø35x60;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210253222E3;2200;250;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210253471E3;470;250;Screw-Terminal;Ø35x60;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210213222E3;2200;250;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210213102E3;1000;250;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210146334E3;330000;25;Screw-Terminal;Ø76x146;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210176154E3;150000;25;Screw-Terminal;Ø65x105;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210218472E3;4700;385;Screw-Terminal;Ø76x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210233223E3;22000;250;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210275103E3;10000;350;Screw-Terminal;Ø76x220;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210128473E3;47000;63;Screw-Terminal;Ø76x105;+85 °C;15000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210127223E3;22000;40;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210169103E3;10000;100;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210213681E3;680;250;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210225332E3;3300;350;Screw-Terminal;Ø65x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210257152E3;1500;450;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210156683E3;68000;25;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210169332E3;3300;100;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210127104E3;100000;40;Screw-Terminal;Ø76x105;+85 °C;15000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210283682E3;6800;250;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210285682E3;6800;350;Screw-Terminal;Ø76x146;+85 °C;10000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210225471E3;470;350;Screw-Terminal;Ø35x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210255222E3;2200;350;Screw-Terminal;Ø50x105;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Mounting Bolt, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210225102E3;1000;350;Screw-Terminal;Ø50x80;+85 °C;10000;"""Screw Terminal, 8 mm M5 High Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
101/102 PHR-ST;Enlarge;MAL210137334E3;330000;40;Screw-Terminal;Ø76x220;+85 °C;15000;"""Screw Terminal, 13 mm M6 Low Post Terminals, Cardboard Box""";Aluminum Electrolytic;image/capacitors/aluminum/28371.png
