Series▲▼;Product Image;Order Code▲▼;Cap (µF)▲▼;Voltage(V)▲▼;Form▲▼;Case Size▲▼;Temp Max(°C)▲▼;Useful Life▲▼;Style▲▼;Technology▲▼;Image path
013 RLC;Enlarge;MAL201336338E3;3.3;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201336109E3;10;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201335479E3;47;16;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201351338E3;3.3;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201356109E3;10;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Long Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201336479E3;47;25;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201371338E3;3.3;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201376109E3;10;25;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Straight Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201366479E3;47;25;Radial;Ø8.2x11;+85 °C;3000;"""Radial, Short Straight Leads, Bulk""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
013 RLC;Enlarge;MAL201331338E3;3.3;50;Radial;Ø5x11;+85 °C;3000;"""Radial, Taped in Ammopack, Formed Leads""";Aluminum Electrolytic;image/capacitors/aluminum/28313.png
