File Name,Description,PART NUMBER,,"L
0
INDUCTANCE
± 20 % AT
100 kHz,
0.25 V, 0 A
(μH)","DCR
NOM.
25 °C
(m)","DCR
MAX.
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)"
IHCL-4040DZ-51 2.7 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER2R7M51 2.7 µH,"L
1-2",2.7,15.9,17.0,9.3,11.0
IHCL-4040DZ-51 2.7 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER2R7M51 2.7 µH,"L
3-4",2.7,16.7,17.9,8.5,11.0
IHCL-4040DZ-51 2.7 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER100M51 2.7 µH,"L
1-4
(L shorted)
2-3",10.8,32.6,34.9,6.0,2.7
IHCL-4040DZ-51 2.7 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZERR1M51 2.7 µH,"L
1-3
(L shorted)
2-4",0.1,32.6,34.9,6.0,See note (3)
IHCL-4040DZ-51 2.7 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZER2R7M51 2.7 µH,"L
Common Mode
(1-3 and
2-4 shorted)",2.7,7.6,8.1,13.25,5.7
IHCL-4040DZ-51 2.7 µH,"www.vishay.com Vishay Dale
Low Profile, High Current Coupled Inductor
FEATURES
• High temperature, up to 155 °C
• Shielded construction",IHCL4040DZERR1M51 2.7 µH,"L
Differential
Mode
(1-4 and
2-3 shorted)",0.1,7.6,8.1,13.25,See note (3)
