Part Number▲▼(all)BP104BP104SBPV09NFBPV10BPV10NFBPV11BPV11FBPV22FBPV22NFBPV22NFLBPV23FBPV23FLBPV23NFBPV23NFLBPW16NBPW17NBPW20RFBPW21RBPW24RBPW34BPW34SBPW41NBPW46BPW76ABPW76BBPW77NABPW77NBBPW82BPW83BPW85BPW85ABPW85BBPW85CBPW96BBPW96CTEFD4300TEFD4300FTEFT4300TEKT5400STEPT4400TEPT5600TEPT5700TEST2600,Product Image,"Device Type▲▼(all)Ambient Light Sensor, RoHS CompliantSilicon NPN PhototransistorSilicon NPN Phototransistor, RoHS CompliantSilicon Photodiode, RoHS CompliantSilicon PIN PhotodiodeSilicon PIN Photodiode, RoHS CompliantSilicon PIN Photodiode, RoHS-Compliant",Package Type▲▼(all)leaded,"Package Form▲▼(all)Side viewSide view lensSide view, long leadsT-¾T-1T-1¾TO-5TO-18Top view",Package Dimensions L x W x H(mm)▲▼(all)∅ 1.8∅ 3∅ 4.7∅ 5∅ 8.133.6 x 2.2 x 3.44.5 x 5 x 65 x 2.65 x 55 x 3 x 6.45 x 4 x 6.85.4 x 4.3 x 3.2,Peak Wavelength λp(nm)▲▼(all)565570825850900920925930940950,Spectral Bandwidth(1)(nm)▲▼(all)350 to 1120380 to 1100420 to 675430 to 1100440 to 800450 to 1040450 to 1080550 to 1040610 to 1040750 to 1050780 to 1050790 to 1050850 to 980870 to 1050875 to 1000900 to 980,Output Current(2)(µA)▲▼(all)91745505560636570758085140200350400 to 800600800 to 2500800 to 800010001500 to 400025002500 to 75003000 to 8000320040004500 to 150007500 to 15000900010000NaN,Angle of Half Sensitivity φ▲▼(all)101215202530374050556065,Photo Sensitive Area(mm2)▲▼(all)0.884.47.5,Image path
BPV23FL,Enlarge,Silicon PIN Photodiode,leaded,"Side view, long leads",4.5 x 5 x 6,950,870 to 1050,63,60,4.4,image/photo-detectors/leaded-devices/81510.png
BPV23NF,Enlarge,Silicon PIN Photodiode,leaded,Side view,4.5 x 5 x 6,940,790 to 1050,65,60,4.4,image/photo-detectors/leaded-devices/81513.png
BPV23NFL,Enlarge,Silicon PIN Photodiode,leaded,"Side view, long leads",4.5 x 5 x 6,940,790 to 1050,65,60,4.4,image/photo-detectors/leaded-devices/81513.png
BPW16N,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,T-¾,∅ 1.8,825,450 to 1040,140,40,,image/photo-detectors/leaded-devices/81515.png
BPW17N,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,T-¾,∅ 1.8,825,450 to 1040,1000,12,,image/photo-detectors/leaded-devices/81516.png
BPW20RF,Enlarge,"Silicon Photodiode, RoHS Compliant",leaded,TO-5,∅ 8.13,920,550 to 1040,60,50,7.5,image/photo-detectors/leaded-devices/81570.png
BPW21R,Enlarge,"Silicon Photodiode, RoHS Compliant",leaded,TO-5,∅ 8.13,565,420 to 675,9,50,7.5,image/photo-detectors/leaded-devices/81519.png
BPW24R,Enlarge,"Silicon PIN Photodiode, RoHS-Compliant",leaded,TO-18,∅ 4.7,940,610 to 1040,60,12,0.88,image/photo-detectors/leaded-devices/81520.png
BPW34,Enlarge,Silicon PIN Photodiode,leaded,Top view,5.4 x 4.3 x 3.2,900,430 to 1100,50,65,7.5,image/photo-detectors/leaded-devices/81521.png
BPW34S,Enlarge,Silicon PIN Photodiode,leaded,Top view,5.4 x 4.3 x 3.2,900,430 to 1100,50,65,7.5,image/photo-detectors/leaded-devices/81521.png
BPW41N,Enlarge,Silicon PIN Photodiode,leaded,Side view,5 x 4 x 6.8,950,870 to 1050,45,65,7.5,image/photo-detectors/leaded-devices/81522.png
BPW46,Enlarge,Silicon PIN Photodiode,leaded,Side view,5 x 3 x 6.4,900,430 to 1100,50,65,7.5,image/photo-detectors/leaded-devices/81524.png
BPW76A,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,TO-18,∅ 4.7,850,450 to 1080,400 to 800,40,,image/photo-detectors/leaded-devices/81526.png
BPW76B,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,TO-18,∅ 4.7,850,450 to 1080,600,40,,image/photo-detectors/leaded-devices/81526.png
BPW77NA,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,TO-18,∅ 4.7,850,450 to 1080,7500 to 15000,10,,image/photo-detectors/leaded-devices/81527.png
BPW77NB,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,TO-18,∅ 4.7,850,450 to 1080,NaN,10,,image/photo-detectors/leaded-devices/81527.png
BPW82,Enlarge,"Silicon PIN Photodiode, RoHS Compliant",leaded,Side view,5 x 4 x 6.8,950,790 to 1050,45,65,7.5,image/photo-detectors/leaded-devices/81529.png
BPW83,Enlarge,"Silicon PIN Photodiode, RoHS Compliant",leaded,Side view,5 x 3 x 6.4,950,790 to 1050,45,65,7.5,image/photo-detectors/leaded-devices/81530.png
BPW85,Enlarge,Silicon NPN Phototransistor,leaded,T-1,∅ 3,850,450 to 1080,800 to 8000,25,,image/photo-detectors/leaded-devices/81531.png
BPW85A,Enlarge,Silicon NPN Phototransistor,leaded,T-1,∅ 3,850,450 to 1080,800 to 2500,25,,image/photo-detectors/leaded-devices/81531.png
BPW85B,Enlarge,Silicon NPN Phototransistor,leaded,T-1,∅ 3,850,450 to 1080,1500 to 4000,25,,image/photo-detectors/leaded-devices/81531.png
BPW85C,Enlarge,Silicon NPN Phototransistor,leaded,T-1,∅ 3,850,450 to 1080,3000 to 8000,25,,image/photo-detectors/leaded-devices/81531.png
BPW96B,Enlarge,Silicon NPN Phototransistor,leaded,T-1¾,∅ 5,850,450 to 1080,2500 to 7500,20,,image/photo-detectors/leaded-devices/81532.png
BPW96C,Enlarge,Silicon NPN Phototransistor,leaded,T-1¾,∅ 5,850,450 to 1080,4500 to 15000,20,,image/photo-detectors/leaded-devices/81532.png
TEFD4300,Enlarge,Silicon PIN Photodiode,leaded,T-1,∅ 3,950,350 to 1120,17,20,,image/photo-detectors/leaded-devices/83471.png
TEFD4300F,Enlarge,Silicon PIN Photodiode,leaded,T-1,∅ 3,950,750 to 1050,17,20,,image/photo-detectors/leaded-devices/83472.png
TEFT4300,Enlarge,Silicon NPN Phototransistor,leaded,T-1,∅ 3,925,875 to 1000,3200,30,,image/photo-detectors/leaded-devices/81549.png
TEKT5400S,Enlarge,Silicon NPN Phototransistor,leaded,Side view lens,5 x 2.65 x 5,920,850 to 980,4000,37,,image/photo-detectors/leaded-devices/81569.png
TEPT4400,Enlarge,"Ambient Light Sensor, RoHS Compliant",leaded,T-1,∅ 3,570,440 to 800,200,30,,image/photo-detectors/leaded-devices/81341.png
TEPT5600,Enlarge,"Ambient Light Sensor, RoHS Compliant",leaded,T-1¾,∅ 5,570,440 to 800,350,20,,image/photo-detectors/leaded-devices/84768.png
TEPT5700,Enlarge,"Ambient Light Sensor, RoHS Compliant",leaded,T-1¾,∅ 5,570,440 to 800,75,50,,image/photo-detectors/leaded-devices/81321.png
TEST2600,Enlarge,"Silicon NPN Phototransistor, RoHS Compliant",leaded,Side view,3.6 x 2.2 x 3.4,920,850 to 980,2500,30,,image/photo-detectors/leaded-devices/81562.png
