File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
± 5 %
25 °C
(m)","HEAT
RATING
CURRENT
DC TYP.
(A) (1)","SATURATION
CURRENT
DC TYP.
(A) (2)","SRF
TYP.
(MHz)"
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR1ML7,0.1,1.37,32.5,60.0,400.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR15ML7,0.15,1.85,26.0,52.0,180.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR2ML7,0.2,2.34,24.0,41.0,150.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR33ML7,0.33,3.2,20.0,30.0,100.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR47ML7,0.47,3.86,17.5,26.0,75.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR68ML7,0.68,5.2,15.5,25.0,62.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZERR82ML7,0.82,7.41,13.0,24.0,60.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER1R0ML7,1.0,8.84,11.0,22.0,55.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER1R5ML7,1.5,14.5,9.0,18.0,40.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER2R2ML7,2.2,17.73,8.0,14.0,38.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER3R3ML7,3.3,28.21,6.0,13.5,30.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER4R7ML7,4.7,37.11,5.5,10.0,25.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER8R2ML7,8.2,61.47,4.0,7.5,17.0
IHLM-2525CZ-L7,"www.vishay.com Vishay Dale
Tin / Lead, 5 % DCR Tolerance, Low Profile, Power Inductor
FEATURES
• Lowest molded height (3.0 mm) in this package footprint
• Shielded construction",IHLM2525CZER100ML7,10.0,97.71,3.0,7.0,16.0
