Part Number▲▼;Product Image;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Lead Style▲▼;Packaging▲▼;Image path
PA0070WJ50038BG1;Enlarge;14000;50;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0070WJ60038BG1;Enlarge;14000;60;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100BJ10138BG1;Enlarge;15000;100;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100BJ12138BG1;Enlarge;15000;120;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100BJ20138BH1;Enlarge;15000;200;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100BJ50038BF1;Enlarge;15000;50;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100BJ60038BF1;Enlarge;15000;60;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100BJ80038BG1;Enlarge;15000;80;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WE16238BJ1;Enlarge;11000;1600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WH10238BJ1;Enlarge;13000;1000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WH12238BJ1;Enlarge;13000;1200;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WH16138BG1;Enlarge;13000;160;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WH30138BH1;Enlarge;13000;300;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WJ25138BH1;Enlarge;14000;250;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WJ40138BJ1;Enlarge;14000;400;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WJ50138BJ1;Enlarge;14000;500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WJ60138BJ1;Enlarge;14000;600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0100WJ80138BJ1;Enlarge;14000;800;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140BJ10138BF1;Enlarge;15000;100;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140BJ12138BF1;Enlarge;15000;120;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140BJ16138BG1;Enlarge;15000;160;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140BJ20138BG1;Enlarge;15000;200;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140BJ25138BG1;Enlarge;15000;250;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140BJ40138BH1;Enlarge;15000;400;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WF30238BJ1;Enlarge;12000;3000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WH20238BJ1;Enlarge;13000;2000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WH25238BJ1;Enlarge;13000;2500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WH60138BH1;Enlarge;13000;600;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WH80138BH1;Enlarge;13000;800;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WJ10238BJ1;Enlarge;14000;1000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WJ12238BJ1;Enlarge;14000;1200;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WJ16238BJ1;Enlarge;14000;1600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WJ30138BG1;Enlarge;14000;300;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WJ50138BH1;Enlarge;14000;500;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0140WL30238BK1;Enlarge;16000;3000;R230;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200BJ16138BF1;Enlarge;15000;160;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200BJ20138BF1;Enlarge;15000;200;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200BJ25138BF1;Enlarge;15000;250;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200BJ50138BG1;Enlarge;15000;500;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200BJ60138BG1;Enlarge;15000;600;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200BJ80138BH1;Enlarge;15000;800;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WF40138BF1;Enlarge;12000;400;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WF60238BJ1;Enlarge;12000;6000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WH40238BJ1;Enlarge;13000;4000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WH50238BJ1;Enlarge;13000;5000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ10238BH1;Enlarge;14000;1000;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ12238BH1;Enlarge;14000;1200;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ16238BH1;Enlarge;14000;1600;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ20238BJ1;Enlarge;14000;2000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ25238BJ1;Enlarge;14000;2500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ30138BF1;Enlarge;14000;300;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PA0200WJ30238BJ1;Enlarge;14000;3000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PAZ057WJ12P036BF1;Enlarge;14000;12;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22139.png
PAZ057WJ17P036BF1;Enlarge;14000;17;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22139.png
PAZ057WJ30P036BG1;Enlarge;14000;30;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22139.png
PC0070WE80138BJ1;Enlarge;11000;800;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WF60138BJ1;Enlarge;12000;600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WF80038BG1;Enlarge;12000;80;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WH12138BH1;Enlarge;13000;120;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WH16138BH1;Enlarge;13000;160;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WH40138BJ1;Enlarge;13000;400;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WH50138BJ1;Enlarge;13000;500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ10138BH1;Enlarge;14000;100;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ20138BJ1;Enlarge;14000;200;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ25038BF1;Enlarge;14000;25;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ25138BJ1;Enlarge;14000;250;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ30038BF1;Enlarge;14000;30;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ30138BJ1;Enlarge;14000;300;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ40038BG1;Enlarge;14000;40;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ50038BG1;Enlarge;14000;50;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0070WJ60038BG1;Enlarge;14000;60;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100BJ10138BG1;Enlarge;15000;100;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100BJ20138BH1;Enlarge;15000;200;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100BJ50038BF1;Enlarge;15000;50;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100BJ60038BF1;Enlarge;15000;60;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100BJ80038BG1;Enlarge;15000;80;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WE16238BJ1;Enlarge;11000;1600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WH10238BJ1;Enlarge;13000;1000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WH16138BG1;Enlarge;13000;160;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WH30138BH1;Enlarge;13000;300;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WJ25138BH1;Enlarge;14000;250;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WJ40138BJ1;Enlarge;14000;400;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WJ50138BJ1;Enlarge;14000;500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WJ60138BJ1;Enlarge;14000;600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0100WJ80138BJ1;Enlarge;14000;800;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ10133BF1;Enlarge;15000;100;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ10136BF1;Enlarge;15000;100;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ10138BF1;Enlarge;15000;100;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ12138BF1;Enlarge;15000;120;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ16138BG1;Enlarge;15000;160;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ20138BG1;Enlarge;15000;200;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ25138BG1;Enlarge;15000;250;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140BJ40138BH1;Enlarge;15000;400;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WF30233BJ1;Enlarge;12000;3000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WH20233BJ1;Enlarge;13000;2000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WH25233BJ1;Enlarge;13000;2500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WH25238BJ1;Enlarge;13000;2500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WH60138BH1;Enlarge;13000;600;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WH80138BH1;Enlarge;13000;800;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WJ10233BJ1;Enlarge;14000;1000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WJ12238BJ1;Enlarge;14000;1200;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WJ16233BJ1;Enlarge;14000;1600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WJ30138BG1;Enlarge;14000;300;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WJ50138BH1;Enlarge;14000;500;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0140WL30238BK1;Enlarge;16000;3000;R230;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ16138BF1;Enlarge;15000;160;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ20136BF1;Enlarge;15000;200;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ20138BF1;Enlarge;15000;200;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ25136BF1;Enlarge;15000;250;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ25138BF1;Enlarge;15000;250;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ50136BG1;Enlarge;15000;500;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ50138BG1;Enlarge;15000;500;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ60138BG1;Enlarge;15000;600;R16;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ80136BH1;Enlarge;15000;800;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200BJ80138BH1;Enlarge;15000;800;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WF40136BF1;Enlarge;12000;400;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WF40138BF1;Enlarge;12000;400;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WF60236BJ1;Enlarge;12000;6000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WF60238BJ1;Enlarge;12000;6000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WH40238BJ1;Enlarge;13000;4000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WH50238BJ1;Enlarge;13000;5000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ10238BH1;Enlarge;14000;1000;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ12238BH1;Enlarge;14000;1200;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ16238BH1;Enlarge;14000;1600;R42;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ20236BJ1;Enlarge;14000;2000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ25236BJ1;Enlarge;14000;2500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ25238BJ1;Enlarge;14000;2500;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ30133BF1;Enlarge;14000;300;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ30136BF1;Enlarge;14000;300;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ30138BF1;Enlarge;14000;300;R7;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PC0200WJ30238BJ1;Enlarge;14000;3000;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WE80133BJ1;Enlarge;11000;800;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WE80136BJ1;Enlarge;11000;800;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WE80138BJ1;Enlarge;11000;800;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WF60136BJ1;Enlarge;12000;600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
PD0070WF60138BJ1;Enlarge;12000;600;R85;NA;NA;Individual;image/capacitors/ceramic/ceramic-rf-power/22082.png
