Series▲▼(all)CDR-MIL-PRF-55681DSCC 03028DSCC 03029DSCC 05001DSCC 05002DSCC 05003DSCC 05006DSCC 05007GA....31G Automotive Extended Bending MLCCGA....31G Automotive MLCCGA....31M, GA....34G Automotive HIFREQ SeriesGA....34G Automotive MLCCGA....EDG Automotive ESD MLCCHV High Voltage SeriesMIL-PRF-123VJ BX SeriesVJ Commercial SeriesVJ Hi-Rel SeriesVJ HIFREQ High Temperature (HT) SeriesVJ HIFREQ SeriesVJ HVArc Guard® SeriesVJ Non-Magnetic SeriesVJ Open Mode Design SeriesVJ Safety Certified CapacitorsVJ Source Energy SeriesVJ X8RVJ....32 Lead-Bearing Finish MLCCsVJ....W1BC Basic Commodity SeriesVJ....W1BC Ultra High Q/Low ESRVJ....W1BC Ultra Small Series 0201;Product Image;Type▲▼(all)Capacitors, Fixed;Technology▲▼(all)MLCC;Description▲▼(all)Surface Mount Multilayer Ceramic CapacitorsSurface Mount Multilayer Ceramic Capacitors for Pulse Current ApplicationsSurface Mount Multilayer Ceramic Chip Capacitor for Flex Sensitive ApplicationsSurface Mount Multilayer Ceramic Chip Capacitor for High Voltage ApplicationsSurface Mount Multilayer Ceramic Chip Capacitor to Prohibit Arc-Over in High-Voltage ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors DSCC Qualified Type 03028Surface Mount Multilayer Ceramic Chip Capacitors DSCC Qualified Type 03029Surface Mount Multilayer Ceramic Chip Capacitors DSCC Qualified Type 05006Surface Mount Multilayer Ceramic Chip Capacitors DSCC Qualified Type 05007Surface Mount Multilayer Ceramic Chip Capacitors for Automotive ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending CapabilitySurface Mount Multilayer Ceramic Chip Capacitors for Automotive High Frequency ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Commercial ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Commodity ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Electro Static Discharge (ESD) Sensitive Automotive ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for High Frequency ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for High Reliability ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for High Temperature Applications Up to 150 °CSurface Mount Multilayer Ceramic Chip Capacitors for High Temperatures 175 °C / 200 °CSurface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Safety Certified ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Ultra High Q Commodity ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity ApplicationsSurface Mount Multilayer Ceramic Chip Capacitors High Frequency DSCC Qualified Type 05001Surface Mount Multilayer Ceramic Chip Capacitors High Frequency DSCC Qualified Type 05002Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDRSurface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type MIL-123Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Mounting▲▼(all)Surface Mount;Voltage(V)▲▼(all)6.3165010020025050060063010001500200025003000360040005000600072008000;Capacitance (min.)▲▼(all)0.1 pF0.2 pF0.3 pF0.5 pF1 nF1 pF1.1 nF1.2 nF1.5 pF2.2 nF3.3 nF3.6 nF3.9 nF4.7 nF5 nF5.6 nF10 nF10 pF12 nF15 nF15 pF18 nF22 pF27 nF27 pF33 nF33 pF39 nF39 pF47 nF47 pF51 pF56 nF56 pF100 nF100 pF120 nF120 pF150 pF220 nF220 pF270 pF300 pF330 pF390 nF390 pF470 pF510 pF680 pF820 pF1.5  uF;Capacitance (max.)▲▼(all)1 nF1.0 uF1.2 uF1.5 nF1.5 uF1.8 nF1.8 uF2.2 nF2.2 uF2.7 nF2.7 uF3 nF3.3 nF3.9 nF4.7 nF4.7 uF5.6 nF6.8 nF6.8 uF8.2 nF10 nF10 uF12 nF18 nF22 nF22 pF22 uF27 nF27 pF33 nF33 pF39 nF47 nF47 pF47 uF56 nF68 nF82 nF82 pF100 nF100 pF100 uF120 pF150 nF150 pF180 nF180 pF220 nF220 pF220 uF270 nF270 pF330 nF390 nF390 pF470 nF470 pF560 nF680 nF680 pF820 pF;Dielectric▲▼(all)BPBRBXC0G (NP0)C0G (NP0) (X1 / Y2)C0G (NP0) (X2)D = HIFREQUltra High QX = BXX5RX7RX7R (X1 / Y2)X7R (X2)X7R (X5P)X8R;Image path
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;6.3;120 nF;150 nF;X5R;image/capacitors/ceramic/ceramic-multilayer-smd/45200.png
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50;0.5 pF;120 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/28538.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50;100 pF;10 nF;BR;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50;100 pF;8.2 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50;100 pF;1.0 uF;X5R;image/capacitors/ceramic/ceramic-multilayer-smd/28538.png
VJ....W1BC Ultra Small Series 0201;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Ultra Small Commodity Applications;Surface Mount;50;100 pF;10 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/28538.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;50;390 nF;470 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;1 pF;680 pF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;1 pF;2.2 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;10 pF;180 pF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;22 pF;150 pF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;51 pF;1 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;100 pF;100 nF;BR;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;100 pF;56 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;120 pF;4.7 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;220 pF;270 pF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;330 pF;1 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;470 pF;18 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;1 nF;3.3 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;1.2 nF;3.3 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;2.2 nF;10 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;3.9 nF;22 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;4.7 nF;22 nF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;4.7 nF;39 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;12 nF;68 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;15 nF;100 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;27 nF;180 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;39 nF;180 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
CDR-MIL-PRF-55681;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors MIL Qualified, Type CDR;Surface Mount;100;56 nF;470 nF;BX;image/capacitors/ceramic/ceramic-multilayer-smd/45026.png
VJ HIFREQ High Temperature (HT) Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperatures 175 °C / 200 °C;Surface Mount;100;0.1 pF;47 pF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45239.png
VJ HIFREQ High Temperature (HT) Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperatures 175 °C / 200 °C;Surface Mount;200;0.1 pF;270 pF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45239.png
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;200;0.1 pF;82 pF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45258.png
VJ HIFREQ High Temperature (HT) Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperatures 175 °C / 200 °C;Surface Mount;250;0.1 pF;470 pF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45239.png
VJ HIFREQ High Temperature (HT) Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperatures 175 °C / 200 °C;Surface Mount;250;0.1 pF;1 nF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45239.png
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;250;0.1 pF;1 nF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45258.png
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;250;0.1 pF;470 pF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45258.png
VJ HIFREQ Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Frequency Applications;Surface Mount;500;0.1 pF;1 nF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45258.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;10 pF;220 pF;C0G (NP0) (X1 / Y2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;10 pF;390 pF;C0G (NP0) (X2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;47 pF;1 nF;C0G (NP0) (X1 / Y2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;100 pF;1 nF;X7R (X1 / Y2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;100 pF;2.7 nF;X7R (X2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;270 pF;4.7 nF;X7R (X1 / Y2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ Safety Certified Capacitors;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Safety Certified Applications;Surface Mount;250;270 pF;12 nF;X7R (X2);image/capacitors/ceramic/ceramic-multilayer-smd/45255.png
VJ HIFREQ High Temperature (HT) Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Temperatures 175 °C / 200 °C;Surface Mount;500;0.2 pF;3.3 nF;D = HIFREQ;image/capacitors/ceramic/ceramic-multilayer-smd/45239.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;1500;10 pF;120 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;1500;33 nF;220 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;1500;100 nF;560 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;2000;10 pF;120 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;2000;270 pF;4.7 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;2000;390 pF;10 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;3000;27 pF;220 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;4000;330 pF;56 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000;15 pF;1.8 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000;15 pF;2.2 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000;33 pF;2.2 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;5000;47 pF;3.3 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000;47 pF;18 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000;150 pF;27 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000;330 pF;82 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;6000;470 pF;100 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
HV High Voltage Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitor for High Voltage Applications;Surface Mount;8000;470 pF;390 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45228.png
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;6.3;120 nF;150 nF;X5R;image/capacitors/ceramic/ceramic-multilayer-smd/45227.png
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;16;27 nF;47 nF;X5R;image/capacitors/ceramic/ceramic-multilayer-smd/45200.png
VJ Non-Magnetic Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Non-Magnetic Applications;Surface Mount;16;27 nF;47 nF;X5R;image/capacitors/ceramic/ceramic-multilayer-smd/45227.png
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;50;10 nF;33 nF;X8R;image/capacitors/ceramic/ceramic-multilayer-smd/45254.png
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;50;10 nF;220 nF;X8R;image/capacitors/ceramic/ceramic-multilayer-smd/45254.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;100;1 pF;220 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;100;1 pF;180 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45200.png
GA....31G Automotive MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications;Surface Mount;100;22 pF;220 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45230.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;100;120 pF;47 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;100;10 nF;150 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45254.png
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;100;10 nF;100 nF;X8R;image/capacitors/ceramic/ceramic-multilayer-smd/45254.png
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;200;1 pF;1.5 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45200.png
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;200;100 pF;1 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45254.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;200;330 pF;150 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;250;330 pF;470 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Hi-Rel Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for High Reliability Applications;Surface Mount;500;1 pF;3.3 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45200.png
GA....31G Automotive Extended Bending MLCC;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Automotive Applications With Extended Bending Capability;Surface Mount;500;100 pF;3.9 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45254.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500;100 pF;39 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500;15 nF;2.2 uF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500;27 nF;6.8 uF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;100;1 pF;220 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45256.png
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;100;120 pF;33 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45256.png
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;200;1 pF;820 pF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45256.png
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;200;330 pF;150 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45256.png
VJ....32 Lead-Bearing Finish MLCCs;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors With Lead-Bearing Finish Termination;Surface Mount;200;330 pF;470 nF;X7R;image/capacitors/ceramic/ceramic-multilayer-smd/45256.png
DSCC 05002;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors High Frequency DSCC Qualified Type 05002;Surface Mount;250;1 pF;100 pF;BP;image/capacitors/ceramic/ceramic-multilayer-smd/45069.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;250;1 pF;1 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;500;1 pF;4.7 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
VJ Commercial Series;Enlarge;Capacitors, Fixed;MLCC;Surface Mount Multilayer Ceramic Chip Capacitors for Commercial Applications;Surface Mount;630;1 pF;10 nF;C0G (NP0);image/capacitors/ceramic/ceramic-multilayer-smd/45199.png
