Part Number▲▼;Product Image;Description▲▼;Voltage▲▼;Capacitance▲▼;Dielectric▲▼;Lead Spacing(mm/inch)▲▼;Lead Style▲▼;Packaging▲▼;Image path
660R10ACD10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;1000;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R10ACD33;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;3300;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R10AED15;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;1500;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R10AES10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;10000;10000;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R15ACD22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;2200;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R15ACT47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;470;X5R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R15ACT68;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;680;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R15AED15;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;1500;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R15AZD15;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;15000;1500;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20ACD10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;1000;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20ACD25;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;2500;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20ACD27;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;2700;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20ACT10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;100;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20ACT22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;220;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20ACT47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;470;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20AED33;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;3300;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20AED50;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;5000;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20AZD10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;1000;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R20AZT22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;20000;220;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30ACD10;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;1000;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30ACT22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;220;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30ACT47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;470;X7R;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AED12;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;1200;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AED22;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;2200;Y5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AED30;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;3000;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AED33;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;3300;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AET47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;470;Z5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AET68;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;680;Y5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AZT18;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;180;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AZT47;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;470;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
660R30AZT68;Enlarge;High Voltage Ceramic DC Disc Capacitors With Axial Leads, 10 kVDC to 30 kVDC;30000;680;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22209.png
715C10DKS10;Enlarge;High Voltage Class 2 Ceramic DC Disc Capacitors, 10 kVDC to 40 kVDC / 3.5 kVAC to 14 kVAC, Screw Terminal Mounting;10000 (3500 RMS);10000;Y5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22168.png
715C10DKS20;Enlarge;High Voltage Class 2 Ceramic DC Disc Capacitors, 10 kVDC to 40 kVDC / 3.5 kVAC to 14 kVAC, Screw Terminal Mounting;10000 (3500 RMS);20000;Y5U;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22168.png
715C10KTD10;Enlarge;High Voltage Class 1 Ceramic AC and DC Disc Capacitors, 10 kVDC to 50 kVDC / 7 kVAC to 34 kVAC, Screw Terminal Mounting;10000 (7000 RMS);1000;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22210.png
715C10KTD10M4;Enlarge;High Voltage Class 1 Ceramic AC and DC Disc Capacitors, 10 kVDC to 50 kVDC / 7 kVAC to 34 kVAC, Screw Terminal Mounting;10000 (7000 RMS);1000;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22210.png
715C10KTD12;Enlarge;High Voltage Class 1 Ceramic AC and DC Disc Capacitors, 10 kVDC to 50 kVDC / 7 kVAC to 34 kVAC, Screw Terminal Mounting;10000 (7000 RMS);1200;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22210.png
715C10KTD12M4;Enlarge;High Voltage Class 1 Ceramic AC and DC Disc Capacitors, 10 kVDC to 50 kVDC / 7 kVAC to 34 kVAC, Screw Terminal Mounting;10000 (7000 RMS);1200;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22210.png
715C10KTD18;Enlarge;High Voltage Class 1 Ceramic AC and DC Disc Capacitors, 10 kVDC to 50 kVDC / 7 kVAC to 34 kVAC, Screw Terminal Mounting;10000 (7000 RMS);1800;N4700;NA;NA;Individual;image/capacitors/ceramic/high-voltage/22210.png
