File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 100 kHz, 0.25 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (1);SATURATION CURRENT DC TYP. (A) (2)
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R1MA1;0.10;0.8;0.96;43;84
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R15MA1;0.15;1;1.2;41;75
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R22MA1;0.22;1.1;1.3;38.5;65
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R33MA1;0.33;1.3;1.5;36.5;62
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R47MA1;0.47;1.6;2;32;55
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R6MA1;0.60;1.8;2.2;29;51
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R68MA1;0.68;2.3;2.5;28;49
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER0R82MA1;0.82;2.6;3;25;44
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER1R0MA1;1.0;3.3;3.5;24;40
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER1R5MA1;1.5;5.1;5.5;19;35
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER1R8MA1;1.8;6.5;7;16.5;30
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER2R2MA1;2.2;7.2;8;16;29
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER3R3MA1;3.3;11;12;12;27
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER4R7MA1;4.7;14.3;15;10;24
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER5R6MA1;5.6;18.3;19;9.5;19
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER6R8MA1;6.8;19.8;22;9;18
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER8R2MA1;8.2;24.8;28;8.5;16
IHLP-5050CE-A1;image/small_inductors/34247.png;IHLP® Automotive Inductors, High Saturation Series;IHLP5050CEER100MA1;10;30.4;34;7;14
