File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 1 MHz, 1.0 V, 0 A (μH);DCR 25 °C (mΩ);MAX.;MAX.;MAX.;HEAT RATING CURRENT DC (A) (3);MAX.;MAX.;MAX.;SATURATION CURRENT DC (A) (4);MAX.;MAX.;MAX.
IHHP-0806ZH-01;image/small_inductors/34591.png;Low Profile, High Current Inductors;IHHP0806ZHER000M01;;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.
IHHP-0806ZH-01;image/small_inductors/34591.png;Low Profile, High Current Inductors;IHHP0806ZHER0R47M01;0.47;20;24;4.5;4.7;4.9;24;4.5;4.7;5.2;24;4.5;4.7
IHHP-0806ZH-01;image/small_inductors/34591.png;Low Profile, High Current Inductors;IHHP0806ZHER1R0M01;1.0;29;35;4.0;3.6;4.4;35;4.0;3.6;4.0;35;4.0;3.6
IHHP-0806ZH-01;image/small_inductors/34591.png;Low Profile, High Current Inductors;IHHP0806ZHER2R2M01;2.2;75;90;2.3;2.7;2.6;90;2.3;2.7;2.9;90;2.3;2.7
