File Name,Description,PART NUMBER,"L
0
INDUCTANCE
± 20 %
AT 100 kHz,
0.25 V, 0 A
(μH)","DCR
25 °C
(mΩ)",,,,"HEAT RATING
CURRENT
DC
(A) (3)",,,,"SATURATION
CURRENT
DC
(A) (4)",,,
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZER000M01,,"TYP,","MAX,","MAX,","MAX,","TYP,","MAX,","MAX,","MAX,","TYP,","MAX,","MAX,","MAX,"
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZERR22M01,0.22,15.0,19.0,4.68,5.5,5.2,19.0,4.68,5.5,6.1,19.0,4.68,5.5
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZERR24M01,0.24,16.0,20.5,4.2,5.4,4.7,20.5,4.2,5.4,6.0,20.5,4.2,5.4
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZERR47M01,0.47,31.0,39.0,3.3,3.85,3.8,39.0,3.3,3.85,4.4,39.0,3.3,3.85
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZER1R0M01,1.0,49.0,65.0,2.8,3.1,3.1,65.0,2.8,3.1,3.5,65.0,2.8,3.1
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZER1R5M01,1.5,116.0,140.0,1.9,2.2,2.1,140.0,1.9,2.2,2.5,140.0,1.9,2.2
IHHP-0806AZ-01,"www.vishay.com Vishay Dale
Low Profile, High Current Inductors
FEATURES
• Magnetic alloy power choke coil
• Miniature size (2.0 x 1.6) and low profile",IHHP0806AZER2R2M01,2.2,132.0,158.0,1.8,1.8,2.0,158.0,1.8,1.8,2.1,158.0,1.8,1.8
