File Name;Image Path;Description;PART NUMBER;INDUCTANCE (μH);TOL.;THICKNESS “D” (INCHES [mm]);TEST FREQ. (MHz);Q MIN.;SRF MIN. (MHz);DCR MAX. ();RATED DC CURRENT (mA)
ILSB-0603;image/small_inductors/34027.png;Monolithic Chip Inductors;ILSB0603ER000M;;;;L AND Q;;;;
ILSB-0603;image/small_inductors/34027.png;Monolithic Chip Inductors;ILSB0603ER000M;0.047 0.068 0.082 0.10 0.12 0.15 0.18 0.22 0.27 0.33 0.39 0.47 0.56 0.68 0.82 1.0 1.2 1.5 1.8 2.2 2.7 3.3 3.9 4.7 5.6 6.8 8.2 10;20 % 20 % 20 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 % 10 %;0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2] 0.031 ± 0.008 [0.80 ± 0.2];50 50 50 25 25 25 25 25 25 25 25 25 25 25 25 10 10 10 10 10 10 10 10 10 4 4 4 2;10 10 10 15 15 15 15 15 15 15 15 15 15 15 15 35 35 35 35 35 35 35 35 35 30 30 30 30;260 250 245 276 236 207 190 173 157 144 127 121 110 104 98 87 74 69 64 58 52 46 41 38 22 20 18 17;0.15 0.25 0.25 0.50 0.50 0.60 0.60 0.80 0.80 0.85 1.00 1.35 1.55 1.70 2.10 0.60 0.80 0.80 0.95 1.15 1.35 1.55 1.70 2.10 1.55 1.70 2.10 2.55;50 50 50 50 50 50 50 50 50 35 35 35 35 35 35 25 25 25 25 15 15 15 15 15 15 15 15 15
