File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 10 % AT 100 kHz, 0.25 V, 0 A (μH);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (1) (A);SATURATION CURRENT DC TYP. AT 100 °C (2) (A);SRF TYP. (MHz);HIPOT CORE TO WIRE, 500 V , DC 2 s (mA)
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER1R0M10;1.0;0.79;72;230;39;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER2R2M10;2.2;1.11;59;148;23;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER3R3M10;3.3;1.11;59;112;18;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER4R7M10;4.7;1.11;59;82;16;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER5R0M10;5.0;1.11;59;78;15;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER5R6M10;5.6;1.11;59;63;14;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER6R8M10;6.8;1.11;59;52;12;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER8R2M10;8.2;1.11;59;43;10;< 2
IHDF-1300AE-10;image/small_inductors/34538.png;Low Profile, Through-Hole, High Current Inductors,;IHDF1300AEER100M10;10;1.11;59;35;9;< 2
