File Name;Image Path;Description;PART NUMBER;INDUCTANCE (μH);TOL. (%);TEST FREQ. (MHz);Q MIN.;SRF MIN. (MHz);DCR MAX. (Ω);RATED DC CURRENT (mA)
ILSB-1206;image/small_inductors/34029.png;Monolithic Chip Inductors;ILSB1206ER000M;;;L AND Q;;;;
ILSB-1206;image/small_inductors/34029.png;Monolithic Chip Inductors;ILSB1206ER000M;0.047 0.068 0.10 0.12 0.15 0.18 0.22 0.27 0.33 0.39 0.47 0.68 1.0 1.2 1.5 1.8 2.2 3.3 3.9 4.7 5.6 6.8 8.2 10 12 15 18 22 27 33;20 20 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10;50 50 25 25 25 25 25 25 25 25 25 25 10 10 10 10 10 10 10 10 4 4 4 2 2 1 1 1 1 1;20 20 20 20 20 20 20 20 20 25 25 25 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 35 35 35;368 322 271 253 230 213 196 173 167 156 144 121 87 75 69 64 58 48 44 41 37 34 30 28 26 22 21 19 17 15;0.15 0.25 0.25 0.30 0.30 0.40 0.40 0.50 0.60 0.50 0.60 0.80 0.40 0.50 0.50 0.50 0.50 0.70 0.80 0.90 0.70 0.80 0.90 1.00 1.05 0.70 0.70 0.90 0.90 1.05;300 300 250 250 250 250 250 250 250 200 200 150 100 100 50 50 50 50 50 50 25 25 25 25 15 5 5 5 5 5
