File Name;Image Path;Description;PART NUMBER;L 0 INDUCTANCE ± 20 % AT 1 MHz, 1.0 V, 0 A (μH);DCR 25 °C (mΩ);MAX.;MAX.;MAX.;HEAT RATING CURRENT DC (A) (3);MAX.;MAX.;MAX.;SATURATION CURRENT DC (A) (4);MAX.;MAX.;MAX.
IHHP-0603ZH-01;image/small_inductors/34589.png;Low Profile, High Current Inductors;IHHP0603ZHER000M01;;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.;TYP.;MAX.;MAX.;MAX.
IHHP-0603ZH-01;image/small_inductors/34589.png;Low Profile, High Current Inductors;IHHP0603ZHER0R47M01;0.47;36;43;3.0;3.1;3.3;43;3.0;3.1;3.4;43;3.0;3.1
IHHP-0603ZH-01;image/small_inductors/34589.png;Low Profile, High Current Inductors;IHHP0603ZHER1R0M01;1.0;95;110;1.8;2.1;2.0;110;1.8;2.1;2.3;110;1.8;2.1
