File Name;Image Path;Description;PART NUMBER;L INDUCTANCE 0 ± 20 % AT 500 kHz, 2 V, 0 A (μH);DCR TYP. 25 °C (mΩ);DCR MAX. 25 °C (mΩ);HEAT RATING CURRENT DC TYP. (A) (3);HEAT RATING CURRENT DC TYP. (A) (4);SATURATION CURRENT DC TYP. (A) (5);SATURATIO CURRENT DC TYP. (A) (6)
IHXL-1500VZ-5A;image/small_inductors/34568.png;High Current Through-Hole Inductor, High Temperature;IHXL1500VZER0R68M5A;0.68;0.12;0.13;154;235;301;420
IHXL-1500VZ-5A;image/small_inductors/34568.png;High Current Through-Hole Inductor, High Temperature;IHXL1500VZER0R82M5A;0.82;0.17;0.18;132;196;235;332
IHXL-1500VZ-5A;image/small_inductors/34568.png;High Current Through-Hole Inductor, High Temperature;IHXL1500VZER1R5M5A;1.5;0.25;0.26;120;178;138;193
IHXL-1500VZ-5A;image/small_inductors/34568.png;High Current Through-Hole Inductor, High Temperature;IHXL1500VZER2R2M5A;2.2;0.32;0.34;115;168;104;150
IHXL-1500VZ-5A;image/small_inductors/34568.png;High Current Through-Hole Inductor, High Temperature;IHXL1500VZER3R3M5A;3.3;0.40;0.42;96;150;87;124
