"Part Number▲▼(all)6N135, 6N1366N137, VO2601, VO26116N139SFH6135, SFH6136SFH6315, SFH6316, SFH6343SFH6318, SFH6319SFH6325, SFH6326SFH6345SFH6755T, SFH6756T, SFH6757TVO0600, VO0601, VO0611VO0630, VO0631, VO0661VO2630, VO2631, VO4661VOH260AVOH263AVOH1016AB, VOH1016AD, VOH1016AGVOIH060AVOIH063AVOIH72AVOM452, VOM453VOW135, VOW136VOW137VOWH260A",Product Image,Data Rate(MBd)▲▼(all)0.111025,"Package▲▼(all)DIP-6DIP-8DIP-8, 400 milSMD-6SMD-8SMD-8, 400 milSOIC-8SOP-5",CTR min.(%)▲▼(all)1519500n/a,tPLHtyp.(µs)▲▼(all)0.0290.0480.050.20.250.30.50.61.53,tPHLtyp.(µs)▲▼(all)0.0240.040.050.20.30.50.6,Pulse Width Distortion PWD(ns)▲▼(all)2.9610n/a,CMTI min.(V/μs)▲▼(all)5001000100001500020000n/a,Operating Temperature(°C)▲▼(all)- 40 to + 100-40 to +100-40 to +110-55 to +100,Channel(s)▲▼(all)DualSingle,Isolation VoltageVISO(VRMS)▲▼(all)33333750400050005300,"Safety Standard(s)▲▼(all)UL, cULUL, cUL, VDEUL, cUL, VDE, CQCUL, cUL, VDE, CQC, CQC",Image path
"VO2630, VO2631, VO4661",Enlarge,10,DIP-8,n/a,0.05,0.04,10,15000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/80412.png
"VO2630, VO2631, VO4661",Enlarge,10,"DIP-8, 400 mil",n/a,0.05,0.04,10,15000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/80412.png
"VO2630, VO2631, VO4661",Enlarge,10,SMD-8,n/a,0.05,0.04,10,15000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/80412.png
"VO0630, VO0631, VO0661",Enlarge,10,SOIC-8,n/a,0.05,0.04,10,1000,-40 to +100,Single,3750,"UL, cUL, VDE",image/optocouplers/opto-high-speed/80415.png
VOWH260A,Enlarge,10,"DIP-8, 400 mil",n/a,0.05,0.04,10,15000,-40 to +110,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84126.png
VOWH260A,Enlarge,10,"SMD-8, 400 mil",n/a,0.05,0.04,10,15000,-40 to +110,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84126.png
VOW137,Enlarge,10,"DIP-8, 400 mil",n/a,0.05,0.04,10,10000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84157.png
VOW137,Enlarge,10,"SMD-8, 400 mil",n/a,0.05,0.04,10,10000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84157.png
"VO0600, VO0601, VO0611",Enlarge,10,SOIC-8,n/a,0.05,0.04,10,15000,-40 to +100,Single,3750,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84607.png
"6N137, VO2601, VO2611",Enlarge,10,DIP-8,n/a,0.05,0.04,10,1000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84732.png
"6N137, VO2601, VO2611",Enlarge,10,"DIP-8, 400 mil",n/a,0.05,0.04,10,1000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84732.png
"6N137, VO2601, VO2611",Enlarge,10,SMD-8,n/a,0.05,0.04,10,1000,-40 to +100,Single,5000,"UL, cUL, VDE",image/optocouplers/opto-high-speed/84732.png
VOIH72A,Enlarge,25,SOIC-8,n/a,0.029,0.024,n/a,20000,-40 to +110,Single,3750,"UL, cUL",image/optocouplers/opto-high-speed/80305.png
