Part Number▲▼,Product Image,Zero or Non-zero crossing▲▼,Package▲▼,Trigger Current IFTMax.(mA)▲▼,Blocking Voltage VDRM(V)▲▼,On-state Current(mA)▲▼,Static dv / dt▲▼,Isolation Voltage VISOVRMS▲▼,Ambient Temperature Range(°C)▲▼,Creepage Min.(mm)▲▼,Working Voltage VIORM(Vpeak)▲▼,Safety Standard▲▼,Image path
"VOM3052, VOM3053",Enlarge,Non-Zero,SOP-4 180° orientation,5 to 10,600,70,1500,3750,-40 to +100,,,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/83492.png
"BRT21, BRT22, BRT23",Enlarge,Zero,DIP-6,1.2 to 2,800,300,10000,4420,-40 to +100,7,630,"UL, cUL, VDE",image/optocouplers/opto-triac/83690.png
"BRT21, BRT22, BRT23",Enlarge,Zero,"DIP-6, 400 mil",1.2 to 2,800,300,10000,4420,-40 to +100,,630,"UL, cUL, VDE",image/optocouplers/opto-triac/83690.png
"BRT21, BRT22, BRT23",Enlarge,Zero,SMD-6,1.2 to 2,800,300,10000,4420,-40 to +100,7,630,"UL, cUL, VDE",image/optocouplers/opto-triac/83690.png
"IL410, IL4108",Enlarge,Zero,DIP-6,2 to 6,800,300,10000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/83627.png
"IL410, IL4108",Enlarge,Zero,"DIP-6, 400 mil",2 to 6,800,300,10000,4420,-55 to +100,,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/83627.png
"IL410, IL4108",Enlarge,Zero,SMD-6,2 to 6,800,300,10000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/83627.png
"VO4154, VO4156",Enlarge,Zero,"DIP-6, 400 mil",1.6 to 3,600,300,5000,4420,-55 to +100,8,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84797.png
"VO4154, VO4156",Enlarge,Zero,SMD-6,1.6 to 3,600,300,5000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84797.png
VO4258,Enlarge,Non-Zero,DIP-6,1.6 to 3,800,300,5000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84635.png
VO4258,Enlarge,Non-Zero,"DIP-6, 400 mil",1.6 to 3,800,300,5000,4420,-55 to +100,,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84635.png
VO4258,Enlarge,Non-Zero,SMD-6,1.6 to 3,800,300,5000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84635.png
"VO3062, VO3063",Enlarge,Zero,DIP-6,5 to 10,600,100,1500,4420,-55 to +100,7,890,"UL, cUL, VDE",image/optocouplers/opto-triac/83748.png
"VO3062, VO3063",Enlarge,Zero,"DIP-6, 400 mil",5 to 10,600,100,1500,4420,-55 to +100,8,890,"UL, cUL, VDE",image/optocouplers/opto-triac/83748.png
"VO3062, VO3063",Enlarge,Zero,SMD-6,5 to 10,600,100,1500,4420,-55 to +100,7,890,"UL, cUL, VDE",image/optocouplers/opto-triac/83748.png
VO4158,Enlarge,Zero,DIP-6,1.6 to 3,800,300,5000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84634.png
VO4158,Enlarge,Zero,SMD-6,1.6 to 3,800,300,5000,4420,-55 to +100,7,890,"UL, cUL, VDE, FIMKO",image/optocouplers/opto-triac/84634.png
"VOT8024AB, VOT8024AD, VOT8024AG",Enlarge,Zero,DIP-4,5,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84919.png
"VOT8024AB, VOT8024AD, VOT8024AG",Enlarge,Zero,"DIP-4, 400 mil",5,800,100,1000,5300,-55 to +110,8,1140,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84919.png
"VOT8024AB, VOT8024AD, VOT8024AG",Enlarge,Zero,SMD-4,5,800,100,1000,5300,-55 to +110,7,890,"UL, cUL, VDE, CQC",image/optocouplers/opto-triac/84919.png
