Part Number▲▼(all)CQY36NCQY37NTB9408VATB9414VATS8510VBTS8514VBTS8914VBTS9410VBTS9414VBTSAL4400TSAL6100TSAL6100ULTSAL6102TSAL6200TSAL6400TSHF5210TSHF5211TSHF5410TSHF6210TSHF6410TSHG5210TSHG5410TSHG6200TSHG6210TSHG6400TSHG6410TSHG8200TSHG8400TSMF1000TSMF1020TSMF1030TSML1000TSML1020TSML1030TSML1040TSP8510VATSSS2600TSTA7100TSTA7300TSTA7500TSTS7100TSTS7300TSTS7500VSLB3940VSLB3948VSLB4940VSLY3850VSLY3943VSLY5850VSLY5940VSMA1085250VSMA1085250X02VSMA1085400VSMA1085400X02VSMA1085600VSMA1085600X02VSMA1085750VSMA1085750X02VSMA1094250VSMA1094250X02VSMA1094400VSMA1094400X02VSMA1094600VSMA1094600X02VSMA1094750VSMA1094750X02VSMB1940ITX01VSMB1940X01VSMB2000X01VSMB2020X01VSMB2943GX01VSMB2943RGX01VSMB2943SLX01VSMB2948GVSMB2948RGVSMB2948SLVSMB3940X01VSMB10940VSMB10941X01VSMB14940VSMB294008GVSMB294008RGVSMD66694VSML3710VSMY1850VSMY1850ITX01VSMY1850X01VSMY1940ITX01VSMY1940X01VSMY1943X01VSMY2850GVSMY2850GX01VSMY2850RGVSMY2850RGX01VSMY2853GVSMY2853GX01VSMY2853RGVSMY2853RGX01VSMY2853SLVSMY2853SLX01VSMY2890GX01VSMY2890RGX01VSMY2893GX01VSMY2893RGX01VSMY2893SLX01VSMY2940GVSMY2940GX01VSMY2940RGVSMY2940RGX01VSMY2941GX01VSMY2941RGX01VSMY2943GVSMY2943GX01VSMY2943RGVSMY2943RGX01VSMY2943SLVSMY2943SLX01VSMY3850VSMY3850X01VSMY3890X01VSMY3940X01VSMY4850X01VSMY5850VSMY5850X01VSMY5890VSMY5890X01VSMY5940VSMY5940X01VSMY12850VSMY12940VSMY14940VSMY23851VSMY23941VSMY98145DSVSMY98525DSVSMY98545VSMY98545ADSVSMY98575ADSVSMY294310GVSMY294310RGVSMY294310SLVSMY385010VSMY385010X01VSMY385011X02VSMY9854535VSMY9857535,Product Image,Package Type▲▼(all)chipleadedsurface mountsurface-mount,Package Form▲▼(all)0805Axial leadsChipchipGullwingHigh power with lensMiniLEDPLCC-2Reverse gullwingside viewSide view lenssquare PCBT-¾T-1T-1¾TO-18Top viewYoke,Package Dimensions (L x W x H)(mm)▲▼(all)∅ 1.8∅ 3∅ 4.7∅ 50.2 x 0.2 x 0.190.260 x 0.260 x 0.170.260 x 0.260 x 0.1700.355 x 0.355 x 0.170.360 x 0.360 x 0.170.37 x 0.37 x 0.192 x 1.25 x 0.82 x 1.25 x 0.852 x 2 x 0.872.3 x 1.3 x 1.42.3 x 2.3 x 2.82.3 x 2.3 x 2.552.3 x 2.55 x 2.32.5 x 2 x 2.73 x 2 x 13.0 x 2.51 x 1.23.2 x 1.6 x 1.13.2 x 2.51 x 1.23.4 x 3.4 x 1.53.4 x 3.4 x 1.83.4 x 3.4 x 2.93.4 x 3.4 x 2.453.5 x 2.8 x 1.753.6 x 2.2 x 53.85 x 3.85 x 1.513.85 x 3.85 x 2.243.85 x 3.85 x 3.00,Peak Wavelength(nm)▲▼(all)660810830850855875890935940945950,Radiant Intensity(mW/sr)▲▼(all)11.52.32.64.04.24.3566.3899.5101112131515.5161718202527353640506265707290100125135145160170180220230235320327360370380500510600630100010251350n/a,Angle of Half Intensity(±°)▲▼(all)3578910111217182225272830404555607580,Rise Time(ns)▲▼(all)5710131415202530600800,Radiant Power(mW)▲▼(all)1819.5202122383940,AEC-Qualified▲▼(all)NoYes,Image path
TSTA7100,Enlarge,leaded,TO-18,∅ 4.7,875,50,5,600,,,image/ir-emitting-diodes/81044.png
TSTA7300,Enlarge,leaded,TO-18,∅ 4.7,875,20,12,600,,,image/ir-emitting-diodes/81045.png
TSTA7500,Enlarge,leaded,TO-18,,875,6,30,600,,,image/ir-emitting-diodes/81046.png
TSTS7100,Enlarge,leaded,TO-18,∅ 4.7,950,100,5,15,,,image/ir-emitting-diodes/81047.png
TSTS7300,Enlarge,leaded,TO-18,∅ 4.7,950,6.3,12,800,,,image/ir-emitting-diodes/81048.png
TSTS7500,Enlarge,leaded,TO-18,∅ 4.7,950,16,30,15,,,image/ir-emitting-diodes/81049.png
VSLB3940,Enlarge,leaded,T-1,∅ 3,940,65,22,15,,No,image/ir-emitting-diodes/81931.png
VSLB3948,Enlarge,leaded,T-1,∅ 3,940,65,22,15,,No,image/ir-emitting-diodes/81876.png
VSLB4940,Enlarge,leaded,T-1,∅ 3,940,65,22,15,,No,image/ir-emitting-diodes/84343.png
VSLY3850,Enlarge,leaded,T-1,∅ 3,850,70,18,10,,No,image/ir-emitting-diodes/82395.png
VSLY3943,Enlarge,leaded,T-1,∅ 3,940,70,17,5,,No,image/ir-emitting-diodes/84581.png
VSLY5850,Enlarge,leaded,T-1¾,∅ 5,850,600,3,10,,No,image/ir-emitting-diodes/83160.png
VSLY5940,Enlarge,leaded,T-1¾,∅ 5,940,600,3,10,,No,image/ir-emitting-diodes/84240.png
